"","GFP","Areamm2","Region","Brainno","Age","imagename"
"1",179,0.0159223515646541,"MZ","040416_B1","E16.5","B1_s006-1"
"2",497,0.0902266588663733,"SVZ","040416_B1","E16.5","B1_s006-1"
"3",149,0.0131545055406187,"MZ","040416_B1","E16.5","B1_s006-2"
"4",354,0.0745421980635061,"SVZ","040416_B1","E16.5","B1_s006-2"
"5",164,0.0121545726089892,"MZ","040416_B1","E16.5","B1_s006-3"
"6",306,0.068875911450939,"SVZ","040416_B1","E16.5","B1_s006-3"
"7",102,0.00946354934266038,"MZ","040416_B2","E16.5","B2_s001"
"8",251,0.0536267796084088,"SVZ","040416_B2","E16.5","B2_s001"
"9",97,0.00850468751498995,"MZ","040416_B2","E16.5","B2_s002-2"
"10",245,0.0481932292516097,"SVZ","040416_B2","E16.5","B2_s002-2"
"11",115,0.0105369649120961,"MZ","040416_B2","E16.5","B2_s002"
"12",292,0.0597094678352113,"SVZ","040416_B2","E16.5","B2_s002"
"13",113,0.00950226999187479,"MZ","040416_B2","E16.5","B2_s003-1"
"14",273,0.0538461966206238,"SVZ","040416_B2","E16.5","B2_s003-1"
"15",117,0.00794948536267606,"MZ","040416_B2","E16.5","B2_s003-2"
"16",226,0.045047083721831,"SVZ","040416_B2","E16.5","B2_s003-2"
"17",126,0.0130264676111078,"MZ","040416_B2","E16.5","B2_s003-3"
"18",389,0.0738166497962777,"SVZ","040416_B2","E16.5","B2_s003-3"
"19",156,0.0122489619232084,"MZ","040416_B2","E16.5","B2_s004-1"
"20",407,0.0694107842315141,"SVZ","040416_B2","E16.5","B2_s004-1"
"21",65,0.00533893424431516,"MZ","040416_B2","E16.5","B2_s004-2"
"22",117,0.0302539607177859,"SVZ","040416_B2","E16.5","B2_s004-2"
"23",124,0.01060219003126,"MZ","040416_B2","E16.5","B2_s004-3"
"24",197,0.0600790768438066,"SVZ","040416_B2","E16.5","B2_s004-3"
"25",144,0.0121872624861615,"MZ","040416_B3","E16.5","B3_s001"
"26",327,0.0690611540882483,"SVZ","040416_B3","E16.5","B3_s001"
"27",210,0.0153463045899996,"MZ","040416_B3","E16.5","B3_s002-1"
"28",430,0.0869623926766642,"SVZ","040416_B3","E16.5","B3_s002-1"
"29",118,0.0086965588470396,"MZ","040416_B3","E16.5","B3_s002-2"
"30",202,0.0492805001332244,"SVZ","040416_B3","E16.5","B3_s002-2"
"31",146,0.0127982260845884,"MZ","040416_B3","E16.5","B3_s003-1"
"32",317,0.0725232811460011,"SVZ","040416_B3","E16.5","B3_s003-1"
"33",74,0.00603046277181842,"MZ","040416_B3","E16.5","B3_s004-1"
