Genotype,Age,MZ,SVZ,Field,Brain no
SST,E15.5,45,35,F1,B1
SST,E15.5,21,22,F2,B1
SST,E15.5,10,21,F3,B1
SST,E15.5,30,19,F4,B1
SST,E15.5,18,16,F5,B1
SST,E15.5,46,34,F6,B1
SST,E15.5,36,19,F7,B1
SST,E15.5,25,22,F8,B1
SST,E15.5,69,36,F9,B1
SST,E15.5,26,31,F10,B1
SST,E15.5,13,19,F11,B1
SST,E15.5,16,11,F12,B1
SST,E15.5,27,17,F13,B1
SST,E15.5,32,33,F14,B1
SST,E15.5,20,19,F1,B2
SST,E15.5,12,22,F2,B2
SST,E15.5,13,24,F3,B2
SST,E15.5,22,22,F4,B2
SST,E15.5,25,32,F5,B2
SST,E15.5,22,22,F6,B2
SST,E15.5,23,27,F7,B2
SST,E15.5,14,15,F8,B2
SST,E15.5,25,21,F9,B2
SST,E15.5,23,34,F10,B2
SST,E15.5,12,27,F11,B2
SST,E15.5,56,36,F1,B3
SST,E15.5,42,43,F2,B3
SST,E15.5,32,12,F3,B3
SST,E15.5,30,19,F4,B3
SST,E15.5,16,14,F5,B3
SST,E15.5,37,17,F6,B3
SST,E15.5,65,22,F7,B3
SST,E14.5,29,16,F1,B1
SST,E14.5,49,34,F2,B1
SST,E14.5,36,24,F3,B1
SST,E14.5,50,21,F4,B1
SST,E14.5,31,21,F5,B1
SST,E14.5,37,36,F6,B1
SST,E14.5,36,25,F7,B1
SST,E14.5,24,22,F8,B1
SST,E14.5,23,30,F9,B1
SST,E14.5,32,25,F10,B1
SST,E14.5,45,43,F1,B2
SST,E14.5,54,27,F2,B2
SST,E14.5,23,10,F3,B2
SST,E14.5,18,19,F4,B2
SST,E14.5,20,19,F5,B2
SST,E14.5,37,32,F6,B2
SST,E14.5,47,34,F7,B2
SST,E14.5,44,35,F8,B2
SST,E14.5,29,18,F9,B2
SST,E14.5,28,22,F1,B3
SST,E14.5,30,32,F2,B3
SST,E14.5,31,28,F3,B3
SST,E14.5,30,24,F4,B3
SST,E14.5,17,17,F5,B3
SST,E14.5,33,18,F6,B3
SST,E14.5,23,28,F7,B3
SST,E14.5,25,23,F8,B3
SST,E14.5,27,39,F9,B3
SST,E14.5,21,11,F10,B3
SST,E16.5,149,83,F1,B1
SST,E16.5,120,107,F2,B1
SST,E16.5,73,85,F3,B1
SST,E16.5,50,59,F4,B1
SST,E16.5,52,60,F5,B1
SST,E16.5,64,83,F6,B1
SST,E16.5,81,111,F7,B1
SST,E16.5,52,49,F8,B1
SST,E16.5,79,87,F9,B1
SST,E16.5,41,31,F1,B2
SST,E16.5,54,42,F2,B2
SST,E16.5,48,46,F3,B2
SST,E16.5,39,29,F4,B2
SST,E16.5,45,33,F5,B2
SST,E16.5,48,25,F6,B2
SST,E16.5,33,50,F7,B2
SST,E16.5,40,45,F8,B2
SST,E16.5,27,28,F9,B2
SST,E16.5,46,65,F1,B3
SST,E16.5,47,46,F2,B3
SST,E16.5,34,45,F3,B3
SST,E16.5,58,40,F4,B3
SST,E16.5,50,39,F5,B3
SST,E16.5,58,41,F6,B3
SST,E16.5,67,63,F7,B3
SST,E16.5,33,31,F8,B3
Gad65-gfp,E14.5,6,8,F1,B1
Gad65-gfp,E14.5,7,13,F2,B1
Gad65-gfp,E14.5,7,12,F3,B1
Gad65-gfp,E14.5,7,8,F4,B1
Gad65-gfp,E14.5,5,9,F5,B1
Gad65-gfp,E14.5,12,29,F6,B1
Gad65-gfp,E14.5,10,22,F7,B1
Gad65-gfp,E14.5,13,49,F1,B2
Gad65-gfp,E14.5,16,37,F2,B2
Gad65-gfp,E14.5,18,35,F3,B2
Gad65-gfp,E14.5,22,41,F4,B2
Gad65-gfp,E14.5,14,20,F5,B2
Gad65-gfp,E14.5,16,35,F6,B2
Gad65-gfp,E14.5,16,22,F7,B2
Gad65-gfp,E14.5,13,41,F8,B2
Gad65-gfp,E14.5,35,50,F9,B2
Gad65-gfp,E14.5,8,8,F1,B3
Gad65-gfp,E14.5,4,10,F2,B3
Gad65-gfp,E14.5,10,15,F3,B3
Gad65-gfp,E14.5,17,16,F4,B3
Gad65-gfp,E14.5,7,28,F5,B3
Gad65-gfp,E14.5,12,14,F6,B3
Gad65-gfp,E14.5,1,20,F7,B3
Gad65-gfp,E14.5,10,39,F8,B3
Gad65-gfp,E14.5,8,33,F9,B3
Gad65-gfp,E15.5,6,7,F1,B1
Gad65-gfp,E15.5,5,25,F2,B1
Gad65-gfp,E15.5,5,21,F3,B1
Gad65-gfp,E15.5,4,29,F4,B1
Gad65-gfp,E15.5,2,15,F5,B1
Gad65-gfp,E15.5,3,28,F6,B1
Gad65-gfp,E15.5,6,20,F7,B1
Gad65-gfp,E15.5,13,33,F8,B1
Gad65-gfp,E15.5,5,11,F1,B2
Gad65-gfp,E15.5,2,14,F2,B2
Gad65-gfp,E15.5,2,16,F3,B2
Gad65-gfp,E15.5,3,12,F4,B2
Gad65-gfp,E15.5,5,36,F5,B2
Gad65-gfp,E15.5,4,17,F6,B2
Gad65-gfp,E15.5,5,14,F7,B2
Gad65-gfp,E15.5,6,32,F8,B2
Gad65-gfp,E15.5,33,130,F1,B3
Gad65-gfp,E15.5,22,112,F2,B3
Gad65-gfp,E15.5,23,106,F3,B3
Gad65-gfp,E15.5,14,112,F4,B3
Gad65-gfp,E15.5,11,102,F5,B3
Gad65-gfp,E15.5,41,106,F6,B3
Gad65-gfp,E15.5,20,91,F7,B3
Gad65-gfp,E15.5,15,127,F8,B3
Gad65-gfp,E15.5,39,121,F9,B3
Gad65-gfp,E15.5,29,86,F10,B3
Gad65-gfp,E15.5,33,71,F11,B3
Gad65-gfp,E15.5,39,70,F12,B3
Gad65-gfp,E15.5,38,150,F13,B3
Gad65-gfp,E16.5,15,54,F1,B1
Gad65-gfp,E16.5,13,64,F2,B1
Gad65-gfp,E16.5,7,61,F3,B1
Gad65-gfp,E16.5,23,62,F4,B1
Gad65-gfp,E16.5,7,72,F5,B1
Gad65-gfp,E16.5,10,56,F6,B1
Gad65-gfp,E16.5,9,83,F7,B1
Gad65-gfp,E16.5,18,73,F8,B1
Gad65-gfp,E16.5,32,95,F9,B1
Gad65-gfp,E16.5,18,62,F1,B2
Gad65-gfp,E16.5,11,62,F2,B2
Gad65-gfp,E16.5,8,49,F3,B2
Gad65-gfp,E16.5,9,41,F4,B2
Gad65-gfp,E16.5,16,61,F5,B2
Gad65-gfp,E16.5,16,55,F6,B2
Gad65-gfp,E16.5,12,47,F7,B2
Gad65-gfp,E16.5,13,39,F8,B2
Gad65-gfp,E16.5,10,45,F1,B3
Gad65-gfp,E16.5,6,23,F2,B3
