entrez-id,symbol,Sst Chodl:Nos1 All:479,Sst Chodl:Nos1 All:478,Sst Chodl:Nos1 All:477,Sst Chodl:Nos1 All:476,Sst Chodl:Nos1 All:475,Sst Chodl:Nos1 All:474,Sst Chodl:Nos1 All:473,Sst Chodl:Nos1 All:472,Sst Chodl:Nos1 All:471,Sst Chodl:Nos1 All:470,Sst Chodl:Nos1 All:469,Sst Chodl:Nos1 All:468,Sst Chodl:Nos1 All:467,Sst Chodl:Nos1 All:466,Sst Chodl:Nos1 All:465,Sst Chodl:Nos1 All:464,Sst Chodl:Nos1 All:463,Sst Chodl:Nos1 All:462,Sst Chodl:Nos1 All:461,Sst Chodl:Nos1 All:460,Sst Chodl:Nos1 All:480,Sst Chodl:Nos1 All:481,Sst Chodl:Nos1 All:482,Sst Chodl:Nos1 All:483,Sst Chodl:Nos1 All:484,Sst Chodl:Nos1 All:485,Sst Chodl:Nos1 All:486,Sst Chodl:Nos1 All:459,Sst Chodl:Nos1 All:458,Sst Chodl:Nos1 All:457,Sst Chodl:Nos1 All:456,Sst Chodl:Sst All:451,Sst Chodl:Sst All:453,Sst Chodl:Sst All:454,Sst Chodl:Sst All:455,Sst Chodl:Sst upper:452,Sst Chodl:Sst upper:450,Sst Chodl:Sst upper:449,Sst Chodl:Chrna2 All:447,Sst Chodl:Chrna2 All:448,Sst Chodl:Chrna2 L6:446,Sst Cdk6:Sst All:421,Sst Cdk6:Sst All:422,Sst Cdk6:Sst All:423,Sst Cdk6:Sst All:426,Sst Cdk6:Sst All:429,Sst Cdk6:Sst All:430,Sst Cdk6:Sst All:431,Sst Cdk6:Sst upper:424,Sst Cdk6:Sst upper:425,Sst Cdk6:Chrna2 All:428,Sst Cdk6:Chrna2 All:427,Sst Cdk6:Chrna2 All:420,Sst Cdk6:Chrna2 All:419,Sst Cdk6:Chrna2 All:418,Sst Cdk6:Chrna2 All:417,Sst Cdk6:Chrna2 All:416,Sst Cdk6:Chrna2 All:415,Sst Cdk6:Chrna2 All:414,Sst Cdk6:Chrna2 All:413,Sst Cbln4:Htr3a lower:292,Sst Cbln4:Htr3a lower:291,Sst Cbln4:Htr3a L6b:351,Sst Cbln4:Nos1 All:348,Sst Cbln4:Sst All:311,Sst Cbln4:Sst All:312,Sst Cbln4:Sst All:313,Sst Cbln4:Sst All:314,Sst Cbln4:Sst All:315,Sst Cbln4:Sst All:334,Sst Cbln4:Sst All:307,Sst Cbln4:Sst All:310,Sst Cbln4:Sst All:308,Sst Cbln4:Sst All:309,Sst Cbln4:Sst All:352,Sst Cbln4:Sst All:346,Sst Cbln4:Sst All:345,Sst Cbln4:Sst All:344,Sst Cbln4:Sst All:343,Sst Cbln4:Sst All:342,Sst Cbln4:Sst All:341,Sst Cbln4:Sst All:340,Sst Cbln4:Sst All:339,Sst Cbln4:Sst All:338,Sst Cbln4:Sst All:337,Sst Cbln4:Sst All:336,Sst Cbln4:Sst All:335,Sst Cbln4:Sst upper:329,Sst Cbln4:Sst upper:330,Sst Cbln4:Sst upper:331,Sst Cbln4:Sst upper:332,Sst Cbln4:Sst upper:317,Sst Cbln4:Sst upper:328,Sst Cbln4:Sst upper:327,Sst Cbln4:Sst upper:326,Sst Cbln4:Sst upper:325,Sst Cbln4:Sst upper:324,Sst Cbln4:Sst upper:323,Sst Cbln4:Sst upper:322,Sst Cbln4:Sst upper:321,Sst Cbln4:Sst upper:320,Sst Cbln4:Sst upper:319,Sst Cbln4:Sst upper:318,Sst Cbln4:Sst upper:293,Sst Cbln4:Sst upper:294,Sst Cbln4:Sst upper:295,Sst Cbln4:Sst upper:296,Sst Cbln4:Sst upper:297,Sst Cbln4:Sst upper:298,Sst Cbln4:Sst upper:299,Sst Cbln4:Sst upper:300,Sst Cbln4:Sst upper:301,Sst Cbln4:Sst upper:302,Sst Cbln4:Sst upper:303,Sst Cbln4:Sst upper:304,Sst Cbln4:Sst upper:305,Sst Cbln4:Sst upper:306,Sst Cbln4:Sst upper:316,Sst Cbln4:Sst lower:333,Sst Cbln4:Pvalb upper:350,Sst Cbln4:Nkx2-1 upper:349,Sst Cbln4:Gad2 All:290,Sst Cbln4:Gad2 All:289,Sst Cbln4:Gad2 All:288,Sst Cbln4:Gad2 All:287,Sst Cbln4:Cux2 All:286,Sst Cbln4:Cux2 L1-2/3:285,Sst Cbln4:Ndnf Neg L1:347,Sst Myh8:Sst All:403,Sst Myh8:Sst All:404,Sst Myh8:Sst All:405,Sst Myh8:Sst All:408,Sst Myh8:Sst All:406,Sst Myh8:Sst All:407,Sst Myh8:Sst upper:398,Sst Myh8:Sst upper:412,Sst Myh8:Sst lower:399,Sst Myh8:Sst lower:402,Sst Myh8:Sst lower:401,Sst Myh8:Sst lower:400,Sst Myh8:Chrna2 All:388,Sst Myh8:Chrna2 All:389,Sst Myh8:Chrna2 All:390,Sst Myh8:Chrna2 All:391,Sst Myh8:Chrna2 All:392,Sst Myh8:Chrna2 All:393,Sst Myh8:Chrna2 All:394,Sst Myh8:Chrna2 All:395,Sst Myh8:Chrna2 All:396,Sst Myh8:Chrna2 All:397,Sst Myh8:Chrna2 All:410,Sst Myh8:Chrna2 All:411,Sst Myh8:Chrna2 All:375,Sst Myh8:Chrna2 All:376,Sst Myh8:Chrna2 All:377,Sst Myh8:Chrna2 All:378,Sst Myh8:Chrna2 All:379,Sst Myh8:Chrna2 All:380,Sst Myh8:Chrna2 All:381,Sst Myh8:Chrna2 All:382,Sst Myh8:Chrna2 All:383,Sst Myh8:Chrna2 All:384,Sst Myh8:Chrna2 All:385,Sst Myh8:Chrna2 All:386,Sst Myh8:Chrna2 All:387,Sst Myh8:Chrna2 L6:373,Sst Myh8:Chrna2 L6:374,Sst Myh8:Gad2 All:372,Sst Myh8:Rbp4 L5:409,Sst Tacstd2:Htr3a lower:434,Sst Tacstd2:Htr3a lower:433,Sst Tacstd2:Htr3a lower:432,Sst Tacstd2:Sst All:443,Sst Tacstd2:Sst All:442,Sst Tacstd2:Sst All:440,Sst Tacstd2:Sst All:439,Sst Tacstd2:Sst All:438,Sst Tacstd2:Sst lower:441,Sst Tacstd2:Chrna2 All:435,Sst Tacstd2:Chrna2 All:436,Sst Tacstd2:Chrna2 All:437,Sst Tacstd2:Chrna2 L6:444,Sst Tacstd2:PvalbD-Slc32a1 All:445,Sst Th:Htr3a lower:354,Sst Th:Htr3a lower:353,Sst Th:Sst All:370,Sst Th:Sst All:362,Sst Th:Sst All:368,Sst Th:Sst lower:367,Sst Th:Sst lower:366,Sst Th:Sst lower:365,Sst Th:Sst lower:364,Sst Th:Sst lower:363,Sst Th:Chrna2 All:355,Sst Th:Chrna2 All:356,Sst Th:Chrna2 All:361,Sst Th:Chrna2 All:360,Sst Th:Chrna2 All:359,Sst Th:Chrna2 All:358,Sst Th:Chrna2 All:357,Sst Th:Chrna2 L6:369,Sst Th:Ntsr1 Neg L6:371
0,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110197,Dgkg,-0.4957,0.8569,0.5050,0.6072,1.0952,1.4327,1.3879,0.7099,0.5872,2.8709,1.5153,2.8502,0.8169,3.2247,0.8588,2.3363,0.6732,1.8495,-0.4842,1.2482,0.6032,1.7639,0.1797,0.3935,1.5090,0.8566,0.2327,-0.5961,1.5105,1.1804,1.1018,0.0823,1.0585,0.7347,1.5435,-0.1078,-0.0778,1.6390,0.8844,0.3749,1.6187,1.5594,1.1337,-0.5135,2.8505,6.4287,0.0886,0.5183,2.3337,-0.7132,1.5190,0.3653,0.3086,0.5357,1.1037,2.9202,2.4808,0.7803,-0.7110,1.0322,3.4374,2.3315,0.0000,1.8513,1.7061,3.4111,1.8176,4.2395,0.7336,1.2545,0.7714,3.1077,-0.0663,1.4453,1.2730,1.3875,2.6227,2.2455,-0.2241,2.6731,3.2822,0.2308,2.9776,3.1254,4.3962,0.0445,0.5832,3.3170,0.7543,2.1292,0.7932,1.4560,1.8487,2.9265,2.6182,0.2779,1.1908,1.6757,2.7349,2.8353,1.5227,1.8450,-0.3771,3.0869,1.0752,2.0444,0.5287,1.7691,0.0997,0.6921,1.3934,0.1812,4.3232,3.8931,0.7903,1.7539,4.3184,4.3958,1.6568,0.4913,4.1339,2.9417,0.9551,-0.1652,1.6913,1.4890,1.3041,1.6650,1.1141,-0.0670,4.8078,0.6076,1.8584,0.4127,1.4264,5.2331,1.8043,1.3327,0.6295,0.7458,-0.6476,2.0677,-0.0115,1.1370,1.6287,1.0263,2.3522,0.3886,1.3015,0.6209,-0.5257,0.5261,0.3453,0.9073,0.5506,-0.7221,2.4586,0.5676,2.3582,2.5112,0.0052,0.7821,0.9310,0.4138,1.0889,-0.6235,-0.6402,4.9512,1.1541,1.0555,0.7884,0.0215,-0.6183,-0.1797,1.5201,-0.2997,-0.1100,-0.1563,0.4672,0.5924,-0.4042,0.6632,0.9788,1.8873,-0.0700,-0.1326,-0.1019,1.4979,0.1756,3.2851,0.4850,1.7409,1.8850,0.1497,-0.2671,-0.3319,1.3008,0.4231,0.6002,1.3304,0.7169,1.6453
0,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208151,Tmem132b,0.0000,-0.6651,-0.6741,0.4326,-0.6480,-0.2520,-0.3212,0.0000,-0.2195,0.3123,0.5189,-0.5528,-0.3393,-0.1162,0.9965,0.0482,0.7459,-0.5984,0.2692,-0.0616,-0.0851,-0.5358,-0.6119,-0.6661,-0.3979,2.8311,0.0562,0.8301,-0.2009,0.7820,0.0998,-0.6576,0.3865,-0.6285,-0.5027,-0.1633,0.0923,-0.2711,-0.6210,0.4562,-0.1939,0.2828,-0.5177,-0.5769,-0.6601,1.2276,-0.6736,-0.4175,-0.6736,-0.6611,0.5359,-0.6621,-0.6726,0.4587,-0.0350,0.0000,-0.4826,0.2126,-0.4395,0.0000,1.5198,0.3585,0.0000,0.3810,-0.2962,0.0442,-0.5703,1.4326,-0.4836,0.9083,-0.6345,0.1875,-0.0435,1.9253,0.8602,0.7294,-0.6455,0.8968,1.5399,0.4677,1.2101,-0.0059,0.7334,2.1765,2.2045,-0.3789,-0.2170,0.2617,0.5249,1.8171,-0.6736,2.9223,-0.4074,1.1484,-0.4721,0.0442,-0.2475,-0.1343,0.4928,1.7514,1.2497,1.0612,1.1138,0.0000,0.7855,1.4657,-0.6656,1.0828,1.3314,1.3735,3.4416,0.0000,-0.6480,-0.4781,0.4717,-0.4987,-0.5157,1.0697,1.9284,-0.3979,0.0000,0.7976,-0.6034,0.0000,0.4321,1.8948,-0.5919,-0.3388,0.9720,-0.6129,-0.6480,0.3590,0.8296,-0.6676,-0.6726,0.3199,2.1193,-0.6661,-0.6601,0.8672,2.2421,-0.6736,0.0000,0.4176,-0.1493,1.2677,0.0000,0.0993,1.7469,-0.2546,0.8993,-0.4520,0.6587,1.3108,-0.6084,0.6457,-0.5438,0.4236,0.6813,0.9745,0.0000,-0.0180,0.6868,3.3283,0.6106,0.0000,-0.6691,1.7925,0.2913,-0.4576,1.8682,0.5194,0.0000,-0.2876,-0.6636,0.3174,0.4046,0.0000,-0.4019,1.2226,-0.0430,0.0748,0.6487,0.3078,0.7264,-0.6440,0.9058,-0.2340,-0.6676,0.0000,1.6296,1.9223,1.4667,0.0000,-0.0230,-0.6741,-0.2931,0.0000,-0.4280,1.0727,0.0000,1.5108
231014,9330182L06Rik,0.0000,0.0000,0.0000,0.0000,1.3422,0.0000,-0.3902,0.0000,0.0000,-0.4557,-0.2577,0.5430,0.5573,-0.4143,1.9397,0.1434,-0.4745,-0.3970,0.0000,1.5160,0.0000,0.0000,0.0000,0.4293,0.5362,0.0000,0.1554,-0.3804,-0.1727,-0.4647,-0.3533,0.0000,-0.1230,0.0000,-0.4685,-0.3428,0.3262,0.6483,1.0080,-0.2540,0.0000,0.0000,-0.4715,0.3112,2.6862,0.2954,-0.1644,3.8655,-0.1847,3.1619,0.0000,0.2457,0.0000,-0.4715,1.2895,-0.1456,0.0000,-0.2720,0.5896,0.9636,-0.4391,0.0000,0.0000,0.0000,0.0000,0.6822,0.0000,0.2517,-0.3533,0.0000,-0.4293,-0.1960,0.0000,-0.4722,0.0000,0.0000,-0.3187,0.0000,0.0000,1.0743,0.0000,0.1509,-0.4722,-0.0094,1.3979,-0.2630,0.0000,0.1193,0.0000,0.0000,0.0000,-0.3420,0.0000,0.0000,-0.2841,0.0000,0.0000,0.0000,3.1792,1.7900,3.5630,0.0000,3.3349,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.4715,-0.2781,0.0000,0.0000,0.0000,-0.3533,0.0000,2.7878,1.3791,0.0000,0.0000,-0.2103,0.0000,-0.4158,0.4903,0.1080,1.1194,0.0000,0.1516,-0.4135,0.0000,0.0000,-0.3631,5.8319,0.9569,-0.4707,3.0896,0.0000,-0.3714,-0.0222,-0.1607,-0.0485,0.0000,0.8718,0.0000,2.0564,0.1727,-0.4429,0.0000,0.0000,0.0000,0.0000,-0.0214,-0.1569,0.0000,0.0000,-0.0816,-0.4700,-0.4226,0.0000,0.0000,0.0000,0.0000,-0.4715,0.0000,0.0000,0.0000,1.6808,1.5574,1.3979,1.7711,2.7269,-0.4647,0.0000,1.5898,2.7367,0.7552,1.0299,0.1539,0.0000,0.0711,0.3639,-0.1276,0.6589,0.0000,1.5612,-0.4722,0.0000,0.0000,1.8291,0.0000,-0.1524,5.2833,0.0000,2.0037,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
243312,Elfn1,-0.2222,0.0000,-0.2222,-0.1956,0.0000,0.0000,0.0000,0.0000,0.1082,0.0000,-0.1406,1.2683,0.0000,-0.2070,-0.0437,-0.0020,0.0531,0.0000,0.0835,0.0000,0.0000,-0.2127,-0.2222,0.2012,0.0000,-0.0931,0.0000,0.0000,-0.2260,-0.2089,-0.1520,0.0000,0.0000,-0.1007,-0.2241,-0.1653,-0.1805,1.7639,3.3342,-0.2222,0.0000,0.7595,0.0000,7.4300,6.8584,14.2600,0.0000,-0.0855,0.5677,1.8873,1.2835,1.4202,4.3748,5.2976,0.7234,0.6038,0.1575,0.0455,0.3398,2.6792,2.0279,0.3512,-0.1975,0.1366,2.9298,0.2658,1.0728,0.6607,-0.2203,1.5475,0.1556,1.2854,-0.0248,0.5449,-0.0779,2.0525,1.3595,5.3698,0.0000,0.7424,1.1107,0.0911,0.9474,3.0076,2.2253,2.6943,-0.0020,2.5424,2.8197,0.0892,0.7803,0.9968,0.2791,0.4329,-0.0304,-0.0551,-0.2070,-0.2013,2.6943,1.8532,0.9930,2.6431,-0.2108,4.6330,1.5019,0.0000,-0.1994,-0.0380,-0.1178,0.2316,0.6892,-0.0475,1.2968,-0.0266,-0.1861,4.1887,0.8962,0.6227,1.9063,0.4537,-0.2146,0.6000,-0.1387,4.6881,0.1272,6.5812,2.6830,0.1044,4.0767,-0.2108,4.7299,4.7318,2.0696,-0.1918,-0.0248,1.0272,0.4462,2.3032,2.5216,0.0000,0.0987,0.9569,1.3804,0.0000,0.4367,0.7025,0.0626,2.4285,1.0671,0.0000,9.0060,0.4822,1.6633,0.5126,2.0374,0.4291,3.8849,0.0151,3.6418,1.5228,0.7633,-0.0741,-0.2032,1.1867,0.2544,-0.2146,0.0000,1.0234,0.6664,-0.2184,-0.2241,-0.2089,0.0000,0.0000,-0.1634,0.0000,0.0000,0.0000,0.0000,1.8627,-0.2260,-0.2184,0.0000,-0.2184,0.0000,1.1677,0.0000,-0.2260,0.0000,0.0000,0.0000,1.1449,2.2538,0.0000,2.7627,-0.1975,1.0158,-0.2241,0.0000,5.5084,0.0000,3.1994
0,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
