cell_no,X-micron,Y-micron,T-min,region,geno
2015-12-02-pos2,256.477,181.641,0,soma,dlx
2015-12-02-pos2,256.477,179.461,90,soma,dlx
2015-12-02-pos2,252.117,172.922,180,soma,dlx
2015-12-02-pos2,245.578,167.836,270,soma,dlx
2015-12-02-pos2,245.578,167.836,360,soma,dlx
2015-12-02-pos2,245.578,167.836,450,soma,dlx
2015-12-02-pos2,240.492,167.836,540,soma,dlx
2015-12-02-pos2,219.422,164.203,630,soma,dlx
2015-12-02-pos2,217.969,160.57,720,soma,dlx
2015-12-02-pos2,217.969,160.57,810,soma,dlx
2015-12-02-pos2,215.063,167.11,900,soma,dlx
2015-12-02-pos2,215.063,167.11,990,soma,dlx
2015-12-02-pos2,205.617,167.11,1080,soma,dlx
2015-12-02-pos2,205.617,167.11,1170,soma,dlx
2015-12-02-pos2,204.891,167.11,1260,soma,dlx
2015-12-02-pos2,201.985,168.563,1350,soma,dlx
2015-12-02-pos2,201.258,168.563,1440,soma,dlx
2015-12-02-pos2,193.992,172.195,1530,soma,dlx
2015-12-02-pos2,191.813,170.016,1620,soma,dlx
2015-12-02-pos2,188.18,167.836,1710,soma,dlx
2015-12-02-pos2,188.18,169.289,1800,soma,dlx
2015-12-02-pos2,183.094,170.742,1890,soma,dlx
2015-12-02-pos2,183.094,170.742,1980,soma,dlx
2015-12-02-pos2,183.094,170.742,2070,soma,dlx
2015-12-02-pos2,180.914,170.742,2160,soma,dlx
2015-12-02-pos2,180.188,170.742,2250,soma,dlx
2015-12-02-pos2,181.641,173.649,2340,soma,dlx
2015-12-02-pos2,177.281,170.016,2430,soma,dlx
2015-12-02-pos2,178.008,169.289,2520,soma,dlx
2015-12-02-pos2,175.102,168.563,2610,soma,dlx
2015-12-02-pos2,177.281,170.742,2700,soma,dlx
2015-12-02-pos2,172.922,172.922,2790,soma,dlx
2015-12-02-pos2,172.922,175.828,2880,soma,dlx
2015-12-02-pos2,279.727,189.633,0,N-tip,dlx
2015-12-02-pos2,285.539,193.266,90,N-tip,dlx
2015-12-02-pos2,288.446,193.992,180,N-tip,dlx
2015-12-02-pos2,291.352,193.266,270,N-tip,dlx
2015-12-02-pos2,292.078,193.266,360,N-tip,dlx
2015-12-02-pos2,292.078,193.266,450,N-tip,dlx
2015-12-02-pos2,294.985,197.625,540,N-tip,dlx
2015-12-02-pos2,294.985,196.899,630,N-tip,dlx
2015-12-02-pos2,293.531,199.805,720,N-tip,dlx
2015-12-02-pos2,289.172,196.899,810,N-tip,dlx
2015-12-02-pos2,289.172,196.172,900,N-tip,dlx
2015-12-02-pos2,286.992,196.172,990,N-tip,dlx
