"","Region","GFP_","Areamm2","Brainno","Fieldname","Age","Genotype"
"1","MZ",11,0,"091115-B1","091115-B1-s002","E16.5","Mafb+/+::SSTcre"
"2","SVZ",7,0,"091115-B1","091115-B1-s002","E16.5","Mafb+/+::SSTcre"
"3","All",30,0,"091115-B1","091115-B1-s002","E16.5","Mafb+/+::SSTcre"
"4","MZ",10,0,"091115-B1","091115-B1-s004","E16.5","Mafb+/+::SSTcre"
"5","SVZ",9,0,"091115-B1","091115-B1-s004","E16.5","Mafb+/+::SSTcre"
"6","All",26,0,"091115-B1","091115-B1-s004","E16.5","Mafb+/+::SSTcre"
"7","MZ",18,0,"091115-B1","091115-B1-s006","E16.5","Mafb+/+::SSTcre"
"8","SVZ",17,0,"091115-B1","091115-B1-s006","E16.5","Mafb+/+::SSTcre"
"9","All",53,0,"091115-B1","091115-B1-s006","E16.5","Mafb+/+::SSTcre"
"10","MZ",12,0,"091115-B1","091115-B1-s008","E16.5","Mafb+/+::SSTcre"
"11","SVZ",13,0,"091115-B1","091115-B1-s008","E16.5","Mafb+/+::SSTcre"
"12","All",41,0,"091115-B1","091115-B1-s008","E16.5","Mafb+/+::SSTcre"
"13","MZ",5,0,"091115-B1","091115-B1-s010","E16.5","Mafb+/+::SSTcre"
"14","SVZ",9,0,"091115-B1","091115-B1-s010","E16.5","Mafb+/+::SSTcre"
"15","All",24,0,"091115-B1","091115-B1-s010","E16.5","Mafb+/+::SSTcre"
"16","MZ",19,0,"091115-B1","091115-B1-s012","E16.5","Mafb+/+::SSTcre"
"17","SVZ",15,0,"091115-B1","091115-B1-s012","E16.5","Mafb+/+::SSTcre"
"18","All",47,0,"091115-B1","091115-B1-s012","E16.5","Mafb+/+::SSTcre"
"19","MZ",18,0,"091115-B1","091115-B1-s014","E16.5","Mafb+/+::SSTcre"
"20","SVZ",8,0,"091115-B1","091115-B1-s014","E16.5","Mafb+/+::SSTcre"
"21","All",33,0,"091115-B1","091115-B1-s014","E16.5","Mafb+/+::SSTcre"
"22","MZ",11,0,"091115-B1","091115-B1-s016","E16.5","Mafb+/+::SSTcre"
