"","Genotype","dist","brainno","Imean"
"1","Mafb-fl/fl","1","HO3a",146.11
"2","Mafb-fl/fl","2","HO3a",145.178
"3","Mafb-fl/fl","3","HO3a",143.594
"4","Mafb-fl/fl","4","HO3a",142.197
"5","Mafb-fl/fl","5","HO3a",142.264
"6","Mafb-fl/fl","6","HO3a",140.941
"7","Mafb-fl/fl","7","HO3a",139.369
"8","Mafb-fl/fl","8","HO3a",139.408
"9","Mafb-fl/fl","9","HO3a",139.311
"10","Mafb-fl/fl","10","HO3a",138.677
"11","Mafb-fl/fl","11","HO3a",138.157
"12","Mafb-fl/fl","12","HO3a",137.286
"13","Mafb-fl/fl","13","HO3a",138.499
"14","Mafb-fl/fl","14","HO3a",138.534
"15","Mafb-fl/fl","15","HO3a",137.842
"16","Mafb-fl/fl","16","HO3a",136.973
"17","Mafb-fl/fl","17","HO3a",136.348
"18","Mafb-fl/fl","18","HO3a",136.359
"19","Mafb-fl/fl","19","HO3a",136.753
"20","Mafb-fl/fl","20","HO3a",138.495
"21","Mafb-fl/fl","21","HO3a",140.029
"22","Mafb-fl/fl","22","HO3a",138.821
"23","Mafb-fl/fl","23","HO3a",137.132
"24","Mafb-fl/fl","24","HO3a",137.811
"25","Mafb-fl/fl","25","HO3a",139.153
"26","Mafb-fl/fl","26","HO3a",139.943
"27","Mafb-fl/fl","27","HO3a",140.226
"28","Mafb-fl/fl","28","HO3a",141.068
"29","Mafb-fl/fl","29","HO3a",141.935
"30","Mafb-fl/fl","30","HO3a",141.245
"31","Mafb-fl/fl","31","HO3a",141.477
"32","Mafb-fl/fl","32","HO3a",139.683
"33","Mafb-fl/fl","33","HO3a",139.91
"34","Mafb-fl/fl","34","HO3a",140.518
"35","Mafb-fl/fl","35","HO3a",141.088
"36","Mafb-fl/fl","36","HO3a",141.291
"37","Mafb-fl/fl","37","HO3a",139.716
"38","Mafb-fl/fl","38","HO3a",139.075
"39","Mafb-fl/fl","39","HO3a",137.871
"40","Mafb-fl/fl","40","HO3a",138.637
"41","Mafb-fl/fl","41","HO3a",137.182
"42","Mafb-fl/fl","42","HO3a",135.124
"43","Mafb-fl/fl","43","HO3a",133.496
"44","Mafb-fl/fl","44","HO3a",133.091
"45","Mafb-fl/fl","45","HO3a",134.133
"46","Mafb-fl/fl","46","HO3a",135.472
"47","Mafb-fl/fl","47","HO3a",135.348
"48","Mafb-fl/fl","48","HO3a",135.049
"49","Mafb-fl/fl","49","HO3a",135.698
"50","Mafb-fl/fl","50","HO3a",137.014
"51","Mafb-fl/fl","51","HO3a",136.553
"52","Mafb-fl/fl","52","HO3a",136.851
"53","Mafb-fl/fl","53","HO3a",136.702
"54","Mafb-fl/fl","54","HO3a",136.74
"55","Mafb-fl/fl","55","HO3a",136.323
"56","Mafb-fl/fl","56","HO3a",138.058
"57","Mafb-fl/fl","57","HO3a",138.228
"58","Mafb-fl/fl","58","HO3a",139.839
"59","Mafb-fl/fl","59","HO3a",139.874
"60","Mafb-fl/fl","60","HO3a",138.864
"61","Mafb-fl/fl","61","HO3a",136.115
"62","Mafb-fl/fl","62","HO3a",136.397
"63","Mafb-fl/fl","63","HO3a",137.9
"64","Mafb-fl/fl","64","HO3a",136.83
"65","Mafb-fl/fl","65","HO3a",135.957
"66","Mafb-fl/fl","66","HO3a",136
"67","Mafb-fl/fl","67","HO3a",134.801
"68","Mafb-fl/fl","68","HO3a",134.661
"69","Mafb-fl/fl","69","HO3a",133.954
"70","Mafb-fl/fl","70","HO3a",134.076
"71","Mafb-fl/fl","71","HO3a",133.423
"72","Mafb-fl/fl","72","HO3a",133.875
"73","Mafb-fl/fl","73","HO3a",135.494
"74","Mafb-fl/fl","74","HO3a",135.683
"75","Mafb-fl/fl","75","HO3a",136.891
"76","Mafb-fl/fl","76","HO3a",138.866
"77","Mafb-fl/fl","77","HO3a",137.316
"78","Mafb-fl/fl","78","HO3a",136.867
"79","Mafb-fl/fl","79","HO3a",135.833
"80","Mafb-fl/fl","80","HO3a",134.862
"81","Mafb-fl/fl","81","HO3a",134.182
"82","Mafb-fl/fl","82","HO3a",132.115
"83","Mafb-fl/fl","83","HO3a",131.3316
"84","Mafb-fl/fl","84","HO3a",131.9701
"85","Mafb-fl/fl","85","HO3a",131.4771
"86","Mafb-fl/fl","86","HO3a",131.486
"87","Mafb-fl/fl","87","HO3a",131.229
"88","Mafb-fl/fl","88","HO3a",129.836
"89","Mafb-fl/fl","89","HO3a",128.623
"90","Mafb-fl/fl","90","HO3a",129.202
"91","Mafb-fl/fl","91","HO3a",128.872
"92","Mafb-fl/fl","92","HO3a",128.008
"93","Mafb-fl/fl","93","HO3a",127.964
"94","Mafb-fl/fl","94","HO3a",129.196
"95","Mafb-fl/fl","95","HO3a",128.199
"96","Mafb-fl/fl","96","HO3a",126.309
"97","Mafb-fl/fl","97","HO3a",126.078
"98","Mafb-fl/fl","98","HO3a",126.427
"99","Mafb-fl/fl","99","HO3a",125.918
"100","Mafb-fl/fl","100","HO3a",125.349
"101","Mafb-fl/fl","101","HO3a",126.049
"102","Mafb-fl/fl","102","HO3a",126.147
"103","Mafb-fl/fl","103","HO3a",126.897
"104","Mafb-fl/fl","104","HO3a",126.838
"105","Mafb-fl/fl","105","HO3a",127.314
"106","Mafb-fl/fl","106","HO3a",127.278
"107","Mafb-fl/fl","107","HO3a",127.222
"108","Mafb-fl/fl","108","HO3a",127.825
"109","Mafb-fl/fl","109","HO3a",127.534
"110","Mafb-fl/fl","110","HO3a",127.305
"111","Mafb-fl/fl","111","HO3a",126.152
"112","Mafb-fl/fl","112","HO3a",125.972
"113","Mafb-fl/fl","113","HO3a",125.412
"114","Mafb-fl/fl","114","HO3a",125.389
"115","Mafb-fl/fl","115","HO3a",126.907
"116","Mafb-fl/fl","116","HO3a",128.592
"117","Mafb-fl/fl","117","HO3a",128.654
"118","Mafb-fl/fl","118","HO3a",128.669
"119","Mafb-fl/fl","119","HO3a",128.908
"120","Mafb-fl/fl","120","HO3a",128.989
"121","Mafb-fl/fl","121","HO3a",128.546
"122","Mafb-fl/fl","122","HO3a",127.974
"123","Mafb-fl/fl","123","HO3a",128.48
"124","Mafb-fl/fl","124","HO3a",126.206
"125","Mafb-fl/fl","125","HO3a",124.786
"126","Mafb-fl/fl","126","HO3a",126.023
"127","Mafb-fl/fl","127","HO3a",127.771
"128","Mafb-fl/fl","128","HO3a",127.873
"129","Mafb-fl/fl","129","HO3a",128.456
"130","Mafb-fl/fl","130","HO3a",128.995
"131","Mafb-fl/fl","131","HO3a",129.074
"132","Mafb-fl/fl","132","HO3a",128.392
"133","Mafb-fl/fl","133","HO3a",127.516
"134","Mafb-fl/fl","134","HO3a",126.668
"135","Mafb-fl/fl","135","HO3a",127.102
"136","Mafb-fl/fl","136","HO3a",127.964
"137","Mafb-fl/fl","137","HO3a",130.022
"138","Mafb-fl/fl","138","HO3a",129.876
"139","Mafb-fl/fl","139","HO3a",127.881
"140","Mafb-fl/fl","140","HO3a",126.5
"141","Mafb-fl/fl","141","HO3a",126.448
"142","Mafb-fl/fl","142","HO3a",126.039
"143","Mafb-fl/fl","143","HO3a",124.578
"144","Mafb-fl/fl","144","HO3a",125.033
"145","Mafb-fl/fl","145","HO3a",125.2
"146","Mafb-fl/fl","146","HO3a",124.0891
"147","Mafb-fl/fl","147","HO3a",123.849
"148","Mafb-fl/fl","148","HO3a",124.778
"149","Mafb-fl/fl","149","HO3a",127.937
"150","Mafb-fl/fl","150","HO3a",130.266
"151","Mafb-fl/fl","151","HO3a",129.498
"152","Mafb-fl/fl","152","HO3a",127.309
"153","Mafb-fl/fl","153","HO3a",124.634
"154","Mafb-fl/fl","154","HO3a",122.777
"155","Mafb-fl/fl","155","HO3a",121.726
"156","Mafb-fl/fl","156","HO3a",122.9739
"157","Mafb-fl/fl","157","HO3a",123.1612
"158","Mafb-fl/fl","158","HO3a",122.4083
"159","Mafb-fl/fl","159","HO3a",121.89
"160","Mafb-fl/fl","160","HO3a",122.4323
"161","Mafb-fl/fl","161","HO3a",122.102
"162","Mafb-fl/fl","162","HO3a",121.3071
"163","Mafb-fl/fl","163","HO3a",121.624
"164","Mafb-fl/fl","164","HO3a",121.123
"165","Mafb-fl/fl","165","HO3a",119.9616
"166","Mafb-fl/fl","166","HO3a",119.687
"167","Mafb-fl/fl","167","HO3a",118.829
"168","Mafb-fl/fl","168","HO3a",118.0852
"169","Mafb-fl/fl","169","HO3a",118.2496
"170","Mafb-fl/fl","170","HO3a",117.3091
"171","Mafb-fl/fl","171","HO3a",117.9228
"172","Mafb-fl/fl","172","HO3a",118.1399
"173","Mafb-fl/fl","173","HO3a",118.374
"174","Mafb-fl/fl","174","HO3a",117.584
"175","Mafb-fl/fl","175","HO3a",116.696
"176","Mafb-fl/fl","176","HO3a",116.785
"177","Mafb-fl/fl","177","HO3a",117.735
"178","Mafb-fl/fl","178","HO3a",116.7664
"179","Mafb-fl/fl","179","HO3a",116.547
"180","Mafb-fl/fl","180","HO3a",115.796
"181","Mafb-fl/fl","181","HO3a",114.418
"182","Mafb-fl/fl","182","HO3a",114.286
"183","Mafb-fl/fl","183","HO3a",113.578
"184","Mafb-fl/fl","184","HO3a",113.7738
"185","Mafb-fl/fl","185","HO3a",115.422
"186","Mafb-fl/fl","186","HO3a",116.3078
"187","Mafb-fl/fl","187","HO3a",116.351
"188","Mafb-fl/fl","188","HO3a",117.013
"189","Mafb-fl/fl","189","HO3a",116.488
"190","Mafb-fl/fl","190","HO3a",115.29
"191","Mafb-fl/fl","191","HO3a",114.143
"192","Mafb-fl/fl","192","HO3a",112.933
"193","Mafb-fl/fl","193","HO3a",112.692
"194","Mafb-fl/fl","194","HO3a",113.463
"195","Mafb-fl/fl","195","HO3a",115.056
"196","Mafb-fl/fl","196","HO3a",116.588
"197","Mafb-fl/fl","197","HO3a",118.098
"198","Mafb-fl/fl","198","HO3a",118.368
"199","Mafb-fl/fl","199","HO3a",117.228
"200","Mafb-fl/fl","200","HO3a",116.496
"201","Mafb-fl/fl","201","HO3a",114.927
"202","Mafb-fl/fl","202","HO3a",114.122
"203","Mafb-fl/fl","203","HO3a",112.995
"204","Mafb-fl/fl","204","HO3a",111.162
"205","Mafb-fl/fl","205","HO3a",111.0507
"206","Mafb-fl/fl","206","HO3a",111.3207
"207","Mafb-fl/fl","207","HO3a",110.6236
"208","Mafb-fl/fl","208","HO3a",110.7428
"209","Mafb-fl/fl","209","HO3a",110.9981
"210","Mafb-fl/fl","210","HO3a",110.7079
"211","Mafb-fl/fl","211","HO3a",110.6412
"212","Mafb-fl/fl","212","HO3a",109.4693
"213","Mafb-fl/fl","213","HO3a",109.3713
"214","Mafb-fl/fl","214","HO3a",109.0355
"215","Mafb-fl/fl","215","HO3a",109.5833
"216","Mafb-fl/fl","216","HO3a",110.3324
"217","Mafb-fl/fl","217","HO3a",110.6909
"218","Mafb-fl/fl","218","HO3a",111.0413
"219","Mafb-fl/fl","219","HO3a",110.8653
"220","Mafb-fl/fl","220","HO3a",110.2257
"221","Mafb-fl/fl","221","HO3a",110.4555
"222","Mafb-fl/fl","222","HO3a",112.0247
"223","Mafb-fl/fl","223","HO3a",113.6076
"224","Mafb-fl/fl","224","HO3a",115.3721
"225","Mafb-fl/fl","225","HO3a",115.57
"226","Mafb-fl/fl","226","HO3a",114.859
"227","Mafb-fl/fl","227","HO3a",113.745
"228","Mafb-fl/fl","228","HO3a",113.616
"229","Mafb-fl/fl","229","HO3a",114.9693
"230","Mafb-fl/fl","230","HO3a",114.7353
"231","Mafb-fl/fl","231","HO3a",114.932
"232","Mafb-fl/fl","232","HO3a",113.8889
