"","X","Length_n_t","Length_n_L1","D1","Brainno","imagename","Genotype","Age","Sex"
"1",1,22.7762168041331,10.2356566663645,204.84002537841,"070316-M91-B1","MAX_070316-M91-B1-HO_c001m","Mafb-fl/fl","p21","female/male"
"2",2,32.7318045862413,9.67461252605819,280.975256050032,"070316-M91-B1","MAX_070316-M91-B1-HO_c002m","Mafb-fl/fl","p21","female/male"
"3",3,6.80322668358561,3.65358470044412,174.023384392278,"070316-M91-B1","MAX_070316-M91-B1-HO_c005m","Mafb-fl/fl","p21","female/male"
"4",4,17.7186621952325,6.25759086377232,226.592948427445,"070316-M91-B1","MAX_070316-M91-B1-HO_c006m","Mafb-fl/fl","p21","female/male"
"5",5,42.7988760989758,7.91897036164235,433.245717393275,"070316-M91-B1","MAX_070316-M91-B1-HO_c008m","Mafb-fl/fl","p21","female/male"
"6",6,28.010513912807,15.5479017492976,231.124807395994,"070316-M91-B1","MAX_070316-M91-B1-HO_c009m","Mafb-fl/fl","p21","female/male"
"7",7,15.7491162875011,11.3640895495332,198.495422822442,"070316-M91-B1","MAX_070316-M91-B1-HO_c010m","Mafb-fl/fl","p21","female/male"
"8",8,58.6549442581347,11.5027644339708,364.361461071331,"070316-M91-B3","MAX_070316-M91-B3-HE_c001m","Mafb+/fl","p21","female/male"
"9",9,34.9868576089912,15.7328015952144,310.885525242454,"070316-M91-B3","MAX_070316-M91-B3-HE_c002m","Mafb+/fl","p21","female/male"
"10",10,36.2720928124717,13.1695821626031,306.353666273906,"070316-M91-B3","MAX_070316-M91-B3-HE_c004m","Mafb+/fl","p21","female/male"
"11",11,44.7339798785462,14.8962204296202,254.690474032448,"070316-M91-B3","MAX_070316-M91-B3-HE_c007m","Mafb+/fl","p21","female/male"
"12",12,29.1326021934197,8.11202755370253,205.74639717212,"070316-M91-B3","MAX_070316-M91-B3-HE_c010m","Mafb+/fl","p21","female/male"
"13",13,21.0301382279628,13.920688873782,103.331067301156,"210216-M91-B1-HE","MAX_210216-M91-B1-HE_c001m","Mafb+/fl","p21","female/male"
"14",14,12.2732834806254,7.20643553138455,108.769544527532,"210216-M91-B1-HE","MAX_210216-M91-B1-HE_c003m","Mafb+/fl","p21","female/male"
"15",15,8.4649898028552,5.81645139360979,101.065035123499,"210216-M91-B1-HE","MAX_210216-M91-B1-HE_c005m","Mafb+/fl","p21","female/male"
"16",16,10.9675957398595,8.77498300475867,87.4688420575572,"210216-M91-B1-HE","MAX_210216-M91-B1-HE_c006m","Mafb+/fl","p21","female/male"
"17",17,14.0661681395876,7.7906186267845,112.395196011783,"210216-M91-B1-HE","MAX_210216-M91-B1-HE_c007m","Mafb+/fl","p21","female/male"
"18",18,28.2008519894861,23.938185443669,202.120909997281,"210216-M91-B2-HE","MAX_210216-M91-B2-HE_c002m","Mafb+/fl","p21","female/male"
"19",19,38.8824435783558,23.2085561497326,285.507115018581,"210216-M91-B2-HE","MAX_210216-M91-B2-HE_c004M","Mafb+/fl","p21","female/male"
"20",20,45.1327834677785,13.7097797516541,282.787999637451,"210216-M91-B2-HE","MAX_210216-M91-B2-HE_c005M","Mafb+/fl","p21","female/male"
"21",21,17.6334632466238,9.04830961660473,315.417384211003,"210216-M91-B2-HE","MAX_210216-M91-B2-HE_c008M","Mafb+/fl","p21","female/male"
"22",22,41.3060817547358,16.8557962476208,260.128704794707,"210216-M91-B2-HE","MAX_210216-M91-B2-HE_c011M","Mafb+/fl","p21","female/male"
"23",23,43.3200398803589,22.9602102782561,287.319858606,"210216-M91-B2-HE","MAX_210216-M91-B2-HE_c012m","Mafb+/fl","p21","female/male"
"24",24,10.6104690686608,6.01631543167913,99.7054158169046,"210216-M91-B3-HO","MAX_210216-M91-B3-HO_c001m","Mafb-fl/fl","p21","female/male"
