"","Length_n_t","Length_n_L1","D1","Brainno","imagename","Genotype","Age","Sex"
"1",30.315417384211,15.2886794162966,265.566935556965,"12_n15_0716_1to5","MAX_120716-M91-1A-HE-c001","Mafb-fl/+","p21","female/male"
"2",40.5982053838485,17.4875373878365,362.548717483912,"12_150716_4_136","MAX_120716-M91-4A-HO-c001","Mafb-fl/fl","p21","female/male"
"3",32.2169854074141,17.357926221336,193.057192060183,"12_150716_4_136","MAX_150716-1A-HO-c001","Mafb-fl/fl","p21","female/male"
"4",22.6629203299193,17.3570198495423,101.513640895495,"12_n15_0716_1to5","MAX_150716-2A-HE-c001","Mafb-fl/+","p21","female/male"
"5",33.0798513550258,18.7528324118553,154.989576724372,"12_n15_0716_1to5","MAX_150716-2A-HE-c002","Mafb-fl/+","p21","female/male"
"6",32.4934288044956,25.0339889422641,193.963563853893,"12_n15_0716_1to5","MAX_150716-2A-HE-c003","Mafb-fl/+","p21","female/male"
"7",29.4770234750295,10.1867125895042,171.304269011148,"12_150716_4_136","MAX_150716-3A-HO-c001","Mafb-fl/fl","p21","female/male"
"8",33.8448291489169,20.5646696274812,226.592948427445,"12_150716_4_136","MAX_150716-3A-HO-c002","Mafb-fl/fl","p21","female/male"
"9",30.8982144475664,11.4755732801595,365.267832865041,"12_n15_0716_1to5","MAX_150716-4A-HE-c001","Mafb-fl/+","p21","female/male"
"10",27.3887428623221,16.9709054654219,156.802320311792,"12_n15_0716_1to5","MAX_150716-5A-HE-c001","Mafb-fl/+","p21","female/male"
"11",43.2022115471767,24.9487899936554,262.847820175836,"12_150716_4_136","MAX_150716-6A-HO-c001","Mafb-fl/fl","p21","female/male"
"12",25.4826429801505,14.3224870842019,181.274358741956,"12_150716_4_136","MAX_150716-6A-HO-c002","Mafb-fl/fl","p21","female/male"
"13",22.158071240823,16.8168222604913,184.899845916795,"2209616_M91_1n2","MAX_220916-M91-1_HE_c001","Mafb-fl/+","p21","female/male"
"14",10.0661651409408,3.61914257228315,159.521435692921,"2209616_M91_1n2","MAX_220916-M91-2_HE_c001","Mafb-fl/+","p21","female/male"
"15",13.4686848545273,3.43333635457265,241.094897126801,"2209616_M91_1n2","MAX_220916-M91-2_HE_c002","Mafb-fl/+","p21","female/male"
"16",28.5117375147285,2.91126620139581,227.499320221155,"2209616_M91_3n5","MAX_220916-M91-3_001_HO","Mafb-fl/fl","p21","female/male"
"17",14.4946977250068,10.3616423456902,128.704794706789,"2209616_M91_3n5","MAX_220916-M91-5_001_HO","Mafb-fl/fl","p21","female/male"
"18",19.4398622314874,6.18961297924409,247.43949968277,"2209616_M91_3n5","MAX_220916-M91-5_002_HO","Mafb-fl/fl","p21","female/male"
"19",11.6568476389015,10.4033354482009,124.17293573824,"2209616_M91_3n5","MAX_220916-M91-5_003_HO","Mafb-fl/fl","p21","female/male"
"20",12.0076135230672,8.00235656666365,170.397897217439,"2209616_M91_3n5","MAX_220916-M91-5_004_HO","Mafb-fl/fl","p21","female/male"
"21",23.1686757908094,8.33046315598659,87.9180639898486,"2509616_M91_1n3","MAX_250916-M91-1_002_HE","Mafb-fl/+","p21","female/male"
"22",11.3060817547358,6.60926311973171,206.65276896583,"2509616_M91_1n3","MAX_250916-M91-1_003_HE","Mafb-fl/+","p21","female/male"
"23",19.578537115925,13.7732257772138,145.925858787275,"2509616_M91_1n3","MAX_250916-M91-1_004_HE","Mafb-fl/+","p21","female/male"
"24",14.1656847638901,10.22478020484,109.670987038883,"2509616_M91_1n3","MAX_250916-M91-1_005_HE","Mafb-fl/+","p21","female/male"
"25",21.0522976524971,5.09562222423638,353.484999546814,"2509616_M91_1n3","MAX_250916-M91-1_006_HE","Mafb-fl/+","p21","female/male"
"26",21.9885797153993,7.70234750294571,159.521435692921,"2509616_M91_1n3","MAX_250916-M91-2_HE_c001","Mafb-fl/+","p21","female/male"
"27",10.6299283966283,7.38421100335358,144.113115199855,"2509616_M91_1n3","MAX_250916-M91-2_HE_c002","Mafb-fl/+","p21","female/male"
"28",23.6925586875736,13.9816912897671,154.989576724372,"2509616_M91_1n3","MAX_250916-M91-3_HE_c001","Mafb-fl/+","p21","female/male"
"29",27.0325387473942,8.07939816912898,121.45382035711,"2509616_M91_6","MAX_250916-M91-6_HO_c001","Mafb-fl/fl","p21","female/male"
"30",15.4264479289405,4.94153901930572,292.758089368259,"2509616_M91_8_9","MAX_250916-M91-8_HE_c001","Mafb-fl/+","p21","female/male"
"31",30.3054472944802,8.91326021934197,233.843922777123,"2509616_M91_8_9","MAX_250916-M91-9_HE_c001","Mafb-fl/+","p21","female/male"
"32",26.9165231577993,16.2594036073597,199.401794616152,"2509616_M91_8_9","MAX_250916-M91-9_HE_c002","Mafb-fl/+","p21","female/male"
"33",43.6925586875737,9.85316776941902,272.817909906644,"2509616_M91_8_9","MAX_250916-M91-9_HE_c003","Mafb-fl/+","p21","female/male"
"34",38.6014683223058,10.4676878455542,213.903743315508,"2509616_M91_8_9","MAX_250916-M91-9_HE_c004","Mafb-fl/+","p21","female/male"
"35",25.9893048128342,14.6687211093991,164.05329466147,"28_30_0616_2_5_n3","MAX_280616-M91-2A-HO-c001","Mafb-fl/fl","p21","female/male"
"36",16.7125895042146,14.3696184174748,178.555243360827,"28_30_0616_2_5_n3","MAX_280616-M91-2A-HO-c002","Mafb-fl/fl","p21","female/male"
"37",16.917429529593,10.6498685760899,259.222333000997,"28_30_0616_2_5_n3","MAX_280616-M91-2A-HO-c003","Mafb-fl/fl","p21","female/male"
"38",29.109942898577,9.74349678238013,468.594217347956,"28_30_0616_2_5_n3","MAX_280616-M91-3A-HO-c001","Mafb-fl/fl","p21","female/male"
"39",18.0676153358107,7.38149188797245,91.5435511646878,"28_30_0616_4n2","MAX_280616-M91-4A-HE-c001","Mafb-fl/+","p21","female/male"
"40",13.588325931297,8.02320311791897,138.674884437596,"28_30_0616_2_5_n3","MAX_280616-M91-5A-HO-c001","Mafb-fl/fl","p21","female/male"
"41",16.5766337351582,7.97697815643977,283.694371431161,"28_30_0616_2_5_n3","MAX_280616-M91-5A-HO-c002","Mafb-fl/fl","p21","female/male"
"42",18.4238194507387,2.09915707423185,389.739871295205,"28_30_0616_2_5_n3","MAX_300616-M83-1-HO-c001","Mafb-fl/fl","p21","female/male"
"43",11.7465784464787,3.70887337986042,313.604640623584,"28_30_0616_2_5_n3","MAX_300616-M83-1-HO-c002","Mafb-fl/fl","p21","female/male"
