MeanIPSC,Row,cellid,Genotype,Layer
67.4386,1,2016_11_28_0013,HO,L2
89.2095,2,2016_11_28_0013,HO,L2
100.211833333333,3,2016_11_28_0013,HO,L2
59.3377166666667,4,2016_11_28_0013,HO,L2
18.0071666666667,5,2016_11_28_0013,HO,L2
6.552,6,2016_11_28_0013,HO,L2
34.0798333333333,1,2016_11_30_0012,HO,L2
46.363,2,2016_11_30_0012,HO,L2
44.2041666666667,3,2016_11_30_0012,HO,L2
27.9285166666667,4,2016_11_30_0012,HO,L2
14.1800166666667,5,2016_11_30_0012,HO,L2
1.62828333333333,6,2016_11_30_0012,HO,L2
38.8700333333333,1,2016_12_07_0028,HO,L2
53.7199,2,2016_12_07_0028,HO,L2
107.954833333333,3,2016_12_07_0028,HO,L2
93.0828,4,2016_12_07_0028,HO,L2
12.2245,5,2016_12_07_0028,HO,L2
0,6,2016_12_07_0028,HO,L2
43.7335142857143,1,2016_12_07_0042,HO,L2
62.779,2,2016_12_07_0042,HO,L2
65.5985714285714,3,2016_12_07_0042,HO,L2
30.7833571428571,4,2016_12_07_0042,HO,L2
12.5653857142857,5,2016_12_07_0042,HO,L2
0,6,2016_12_07_0042,HO,L2
41.4812857142857,1,2017_09_05_0016,HO,L2
61.0878571428571,2,2017_09_05_0016,HO,L2
66.0477142857143,3,2017_09_05_0016,HO,L2
60.7714285714286,4,2017_09_05_0016,HO,L2
39.3392857142857,5,2017_09_05_0016,HO,L2
7.84314285714286,6,2017_09_05_0016,HO,L2
47.3088333333333,1,2017_09_07_0012,HO,L2
50.3991166666667,2,2017_09_07_0012,HO,L2
66.3928333333333,3,2017_09_07_0012,HO,L2
39.3951666666667,4,2017_09_07_0012,HO,L2
16.2547666666667,5,2017_09_07_0012,HO,L2
7.27016666666667,6,2017_09_07_0012,HO,L2
110.954714285714,1,2017_09_07_0035,HO,L2
119.569857142857,2,2017_09_07_0035,HO,L2
112.135428571429,3,2017_09_07_0035,HO,L2
93.371,4,2017_09_07_0035,HO,L2
60.302,5,2017_09_07_0035,HO,L2
49.3292857142857,6,2017_09_07_0035,HO,L2
81.3238333333333,1,2017_09_19_0013,HO,L2
126.159833333333,2,2017_09_19_0013,HO,L2
172.501666666667,3,2017_09_19_0013,HO,L2
168.3895,4,2017_09_19_0013,HO,L2
117.057,5,2017_09_19_0013,HO,L2
45.3791666666667,6,2017_09_19_0013,HO,L2
8.79264,1,2016_11_14_0016,HO,L3
12.99872,2,2016_11_14_0016,HO,L3
43.03396,3,2016_11_14_0016,HO,L3
38.38486,4,2016_11_14_0016,HO,L3
11.57452,5,2016_11_14_0016,HO,L3
3.5986,6,2016_11_14_0016,HO,L3
25.4464,1,2016_11_14_0030,HO,L3
34.9884,2,2016_11_14_0030,HO,L3
49.675,3,2016_11_14_0030,HO,L3
55.8286,4,2016_11_14_0030,HO,L3
30.8038,5,2016_11_14_0030,HO,L3
8.66074,6,2016_11_14_0030,HO,L3
37.6811666666667,1,2016_11_22_0013,HO,L3
41.5753666666667,2,2016_11_22_0013,HO,L3
55.7606666666667,3,2016_11_22_0013,HO,L3
63.1886666666667,4,2016_11_22_0013,HO,L3
48.9694666666667,5,2016_11_22_0013,HO,L3
17.4462333333333,6,2016_11_22_0013,HO,L3
18.94502,1,2016_11_22_0027,HO,L3
12.06082,2,2016_11_22_0027,HO,L3
16.494,3,2016_11_22_0027,HO,L3
20.0128,4,2016_11_22_0027,HO,L3
22.6562,5,2016_11_22_0027,HO,L3
7.67862,6,2016_11_22_0027,HO,L3
43.7185833333333,1,2016_11_22_0042,HO,L3
3.73916666666667,2,2016_11_22_0042,HO,L3
3.02521666666667,3,2016_11_22_0042,HO,L3
20.1062833333333,4,2016_11_22_0042,HO,L3
47.0993333333333,5,2016_11_22_0042,HO,L3
106.821,6,2016_11_22_0042,HO,L3
22.1764,1,2016_11_28_0037,HO,L3
27.7100333333333,2,2016_11_28_0037,HO,L3
55.4369333333333,3,2016_11_28_0037,HO,L3
43.0202666666667,4,2016_11_28_0037,HO,L3
16.6201,5,2016_11_28_0037,HO,L3
5.07041666666667,6,2016_11_28_0037,HO,L3
105.7486,1,2016_12_07_0014,HO,L3
114.9834,2,2016_12_07_0014,HO,L3
108.5916,3,2016_12_07_0014,HO,L3
