MeanIPSC,Row,cellid,Genotype,Layer
46.19535,1,2016_11_15_0013,Het,L2
32.5527333333333,2,2016_11_15_0013,Het,L2
36.8721666666667,3,2016_11_15_0013,Het,L2
31.9687333333333,4,2016_11_15_0013,Het,L2
16.591,5,2016_11_15_0013,Het,L2
10.7933,6,2016_11_15_0013,Het,L2
79.8938333333333,1,2016_11_15_0028,Het,L2
58.6898333333333,2,2016_11_15_0028,Het,L2
70.6635,3,2016_11_15_0028,Het,L2
61.0038333333333,4,2016_11_15_0028,Het,L2
40.25645,5,2016_11_15_0028,Het,L2
18.8605,6,2016_11_15_0028,Het,L2
47.435,1,2016_11_15_0042,Het,L2
41.1985,2,2016_11_15_0042,Het,L2
27.37,3,2016_11_15_0042,Het,L2
22.72585,4,2016_11_15_0042,Het,L2
11.18635,5,2016_11_15_0042,Het,L2
2.337975,6,2016_11_15_0042,Het,L2
49.7551428571429,1,2016_11_21_0014,Het,L2
55.8312857142857,2,2016_11_21_0014,Het,L2
54.5351428571429,3,2016_11_21_0014,Het,L2
31.5672857142857,4,2016_11_21_0014,Het,L2
6.93551428571429,5,2016_11_21_0014,Het,L2
3.18258571428571,6,2016_11_21_0014,Het,L2
48.9292666666667,1,2016_11_21_0028,Het,L2
70.985,2,2016_11_21_0028,Het,L2
74.1578333333333,3,2016_11_21_0028,Het,L2
48.7985,4,2016_11_21_0028,Het,L2
26.8505,5,2016_11_21_0028,Het,L2
19.4771333333333,6,2016_11_21_0028,Het,L2
77.9581666666667,1,2016_12_04_0016,Het,L2
86.5988333333333,2,2016_12_04_0016,Het,L2
88.398,3,2016_12_04_0016,Het,L2
56.7306666666667,4,2016_12_04_0016,Het,L2
13.49255,5,2016_12_04_0016,Het,L2
6.55766666666667,6,2016_12_04_0016,Het,L2
61.729,1,2016_12_04_0045,Het,L2
107.7878,2,2016_12_04_0045,Het,L2
109.1316,3,2016_12_04_0045,Het,L2
48.476,4,2016_12_04_0045,Het,L2
11.3944,5,2016_12_04_0045,Het,L2
0,6,2016_12_04_0045,Het,L2
26.6128,1,2016_12_04_0059,Het,L2
30.4889,2,2016_12_04_0059,Het,L2
29.12836,3,2016_12_04_0059,Het,L2
10.49888,4,2016_12_04_0059,Het,L2
0,5,2016_12_04_0059,Het,L2
0,6,2016_12_04_0059,Het,L2
26.0755,1,2016_12_08_0013,Het,L2
32.2695,2,2016_12_08_0013,Het,L2
24.347,3,2016_12_08_0013,Het,L2
22.6117,4,2016_12_08_0013,Het,L2
9.49361666666667,5,2016_12_08_0013,Het,L2
2.03233333333333,6,2016_12_08_0013,Het,L2
23.65578,1,2016_12_08_0027,Het,L2
26.29102,2,2016_12_08_0027,Het,L2
24.8426,3,2016_12_08_0027,Het,L2
13.45552,4,2016_12_08_0027,Het,L2
9.4017,5,2016_12_08_0027,Het,L2
7.0082,6,2016_12_08_0027,Het,L2
106.699333333333,1,2016_12_12_0054,Het,L2
72.3628333333333,2,2016_12_12_0054,Het,L2
68.2345,3,2016_12_12_0054,Het,L2
38.7647833333333,4,2016_12_12_0054,Het,L2
8.58848333333333,5,2016_12_12_0054,Het,L2
0,6,2016_12_12_0054,Het,L2
46.06438,1,2016_12_13_0025,Het,L2
39.8295,2,2016_12_13_0025,Het,L2
39.66714,3,2016_12_13_0025,Het,L2
24.9778,4,2016_12_13_0025,Het,L2
8.47254,5,2016_12_13_0025,Het,L2
2.55972,6,2016_12_13_0025,Het,L2
42.4894,1,2016_11_21_0042,Het,L3
41.1714,2,2016_11_21_0042,Het,L3
57.5874,3,2016_11_21_0042,Het,L3
40.6176,4,2016_11_21_0042,Het,L3
12.28646,5,2016_11_21_0042,Het,L3
5.3009,6,2016_11_21_0042,Het,L3
38.152,1,2016_12_04_0031,Het,L3
82.1623333333333,2,2016_12_04_0031,Het,L3
128.899,3,2016_12_04_0031,Het,L3
89.6657166666667,4,2016_12_04_0031,Het,L3
31.50385,5,2016_12_04_0031,Het,L3
12.0683333333333,6,2016_12_04_0031,Het,L3
33.1121666666667,1,2016_12_12_0011,Het,L3
63.3593333333333,2,2016_12_12_0011,Het,L3
101.137833333333,3,2016_12_12_0011,Het,L3
135.229666666667,4,2016_12_12_0011,Het,L3
124.364166666667,5,2016_12_12_0011,Het,L3
37.7026666666667,6,2016_12_12_0011,Het,L3
44.3748333333333,1,2016_12_12_0025,Het,L3
74.4292666666667,2,2016_12_12_0025,Het,L3
78.518,3,2016_12_12_0025,Het,L3
78.3536666666667,4,2016_12_12_0025,Het,L3
47.3281,5,2016_12_12_0025,Het,L3
21.9518,6,2016_12_12_0025,Het,L3
84.3971666666667,1,2016_12_12_0040,Het,L3
113.267833333333,2,2016_12_12_0040,Het,L3
156.741166666667,3,2016_12_12_0040,Het,L3
114.403166666667,4,2016_12_12_0040,Het,L3
46.3360166666667,5,2016_12_12_0040,Het,L3
17.7975,6,2016_12_12_0040,Het,L3
41.1486,1,2016_12_13_0011,Het,L3
67.76,2,2016_12_13_0011,Het,L3
77.29,3,2016_12_13_0011,Het,L3
76.1796,4,2016_12_13_0011,Het,L3
66.18806,5,2016_12_13_0011,Het,L3
33.7658,6,2016_12_13_0011,Het,L3
30.2833333333333,1,2016_12_13_0039,Het,L3
54.122,2,2016_12_13_0039,Het,L3
80.9496666666667,3,2016_12_13_0039,Het,L3
104.408833333333,4,2016_12_13_0039,Het,L3
105.988,5,2016_12_13_0039,Het,L3
58.818,6,2016_12_13_0039,Het,L3
25.8288333333333,1,2017_09_04_0014,Het,L3
58.93,2,2017_09_04_0014,Het,L3
50.4323333333333,3,2017_09_04_0014,Het,L3
61.0511666666667,4,2017_09_04_0014,Het,L3
85.5535,5,2017_09_04_0014,Het,L3
76.68,6,2017_09_04_0014,Het,L3
6.30983333333333,1,2017_09_07_0058,Het,L3
14.1252333333333,2,2017_09_07_0058,Het,L3
24.1716666666667,3,2017_09_07_0058,Het,L3
31.5073333333333,4,2017_09_07_0058,Het,L3
20.5113333333333,5,2017_09_07_0058,Het,L3
18.5335,6,2017_09_07_0058,Het,L3
