depth,cellid,brainno
332,2016_11_15_0013,2016A
327,2016_11_15_0028,2016A
414,2016_11_15_0042,2016A
242,2016_11_21_0014,2016B
385,2016_11_21_0028,2016B
331,2016_11_21_0042,2016B
261,2016_12_04_0016,2017C
304,2016_12_04_0031,2017C
241,2016_12_04_0045,2017C
244,2016_12_04_0059,2017C
233,2016_12_08_0013,2016D
274,2016_12_08_0027,2016D
398,2016_12_12_0011,2016E
347,2016_12_12_0025,2016E
287,2016_12_12_0040,2016E
221,2016_12_12_0054,2016E
402,2016_12_13_0011,2016F
296,2016_12_13_0025,2016F
440,2016_12_13_0039,2016F
333,2016_11_14_0016,2016G
364,2016_11_14_0030,2016G
314,2016_11_22_0013,2016H
480,2016_11_22_0027,2016H
333,2016_11_22_0042,2016H
262,2016_11_28_0013,2016I
371,2016_11_28_0037,2016I
288,2016_11_30_0012,2016J
297,2016_12_07_0014,2016K
297,2016_12_07_0028,2016K
265,2016_12_07_0042,2016K
394,2016_12_07_0055,2016K
418,2017_09_04_0014,2017A
377,2017_09_07_0058,2017B
447,2017_09_07_0072,2017B
368,2017_09_08_0012,2017C
428,2017_09_08_0023,2017C
316,2017_09_08_0035,2017C
415,2017_09_11_0001,2017D
463,2017_09_20_0001,2017E
460,2017_09_20_0012,2017E
419,2017_09_20_0023,2017E
336,2017_09_05_0004,2017F
383,2017_09_07_0001,2017G
316,2017_09_05_0016,2017F
312,2017_09_07_0012,2017G
333,2017_09_07_0024,2017G
290,2017_09_07_0035,2017G
328,2017_09_07_0044,2017G
316,2017_09_15_0004,2017H
429,2017_09_19_0001,2017I
319,2017_09_19_0013,2017I
386,2017_09_19_0025,2017I
373,2017_09_19_0038,2017I
332,2017_10_04_0002,2017J
378,2017_10_04_0013,2017J
355,2017_10_04_0025,2017J
433,2017_10_03_0001,2017K
405,2017_10_05_0005,2017L
439,2017_10_11_0001,2017M
347,2017_10_12_0001,2017N
372,2017_10_12_0012,2017N
