"","cellcount","AreaMmsq","celltype","Layers","Brainno","imagename","Genotype","Age"
"1",2,0.19603,"RCE","L1","171215-M91-2B","171215-M83-2B-HET_001","Mafb-fl/+","P21"
"2",42,0.45223,"RCE","L23","171215-M91-2B","171215-M83-2B-HET_001","Mafb-fl/+","P21"
"3",31,0.26396,"RCE","L4","171215-M91-2B","171215-M83-2B-HET_001","Mafb-fl/+","P21"
"4",73,0.40953,"RCE","L5","171215-M91-2B","171215-M83-2B-HET_001","Mafb-fl/+","P21"
"5",39,0.57451,"RCE","L6","171215-M91-2B","171215-M83-2B-HET_001","Mafb-fl/+","P21"
"6",1,0.19603,"RCE_CR","L1","171215-M91-2B","171215-M83-2B-HET_001","Mafb-fl/+","P21"
"7",14,0.45223,"RCE_CR","L23","171215-M91-2B","171215-M83-2B-HET_001","Mafb-fl/+","P21"
"8",3,0.26396,"RCE_CR","L4","171215-M91-2B","171215-M83-2B-HET_001","Mafb-fl/+","P21"
"9",7,0.40953,"RCE_CR","L5","171215-M91-2B","171215-M83-2B-HET_001","Mafb-fl/+","P21"
"10",2,0.57451,"RCE_CR","L6","171215-M91-2B","171215-M83-2B-HET_001","Mafb-fl/+","P21"
"11",0,0.19603,"CRnegRCE","L1","171215-M91-2B","171215-M83-2B-HET_001","Mafb-fl/+","P21"
"12",35,0.45223,"CRnegRCE","L23","171215-M91-2B","171215-M83-2B-HET_001","Mafb-fl/+","P21"
"13",17,0.26396,"CRnegRCE","L4","171215-M91-2B","171215-M83-2B-HET_001","Mafb-fl/+","P21"
"14",9,0.40953,"CRnegRCE","L5","171215-M91-2B","171215-M83-2B-HET_001","Mafb-fl/+","P21"
"15",7,0.57451,"CRnegRCE","L6","171215-M91-2B","171215-M83-2B-HET_001","Mafb-fl/+","P21"
"16",2,0.21769,"RCE","L1","171215-M91-2B","171215-M83-2B-HET_002","Mafb-fl/+","P21"
"17",29,0.4858,"RCE","L23","171215-M91-2B","171215-M83-2B-HET_002","Mafb-fl/+","P21"
"18",44,0.31623,"RCE","L4","171215-M91-2B","171215-M83-2B-HET_002","Mafb-fl/+","P21"
"19",100,0.48351,"RCE","L5","171215-M91-2B","171215-M83-2B-HET_002","Mafb-fl/+","P21"
"20",62,0.57059,"RCE","L6","171215-M91-2B","171215-M83-2B-HET_002","Mafb-fl/+","P21"
