"","cellcount","AreaMmsq","celltype","Layers","Brainno","imagename","Genotype","Age"
"1",2,0.12098,"RCE","L1","171215_M83-154-2","171215_M83-153-2_001","Mafb+/fl","P21"
"2",13,0.37198,"RCE","L23","171215_M83-154-2","171215_M83-153-2_001","Mafb+/fl","P21"
"3",14,0.22752,"RCE","L4","171215_M83-154-2","171215_M83-153-2_001","Mafb+/fl","P21"
"4",67,0.45323,"RCE","L5","171215_M83-154-2","171215_M83-153-2_001","Mafb+/fl","P21"
"5",40,0.52005,"RCE","L6","171215_M83-154-2","171215_M83-153-2_001","Mafb+/fl","P21"
"6",0,0.12098,"RCE_Calb","L1","171215_M83-154-2","171215_M83-153-2_001","Mafb+/fl","P21"
"7",4,0.37198,"RCE_Calb","L23","171215_M83-154-2","171215_M83-153-2_001","Mafb+/fl","P21"
"8",0,0.22752,"RCE_Calb","L4","171215_M83-154-2","171215_M83-153-2_001","Mafb+/fl","P21"
"9",18,0.45323,"RCE_Calb","L5","171215_M83-154-2","171215_M83-153-2_001","Mafb+/fl","P21"
"10",18,0.52005,"RCE_Calb","L6","171215_M83-154-2","171215_M83-153-2_001","Mafb+/fl","P21"
"11",13,0.12098,"CalbnegRCE","L1","171215_M83-154-2","171215_M83-153-2_001","Mafb+/fl","P21"
"12",101,0.37198,"CalbnegRCE","L23","171215_M83-154-2","171215_M83-153-2_001","Mafb+/fl","P21"
"13",98,0.22752,"CalbnegRCE","L4","171215_M83-154-2","171215_M83-153-2_001","Mafb+/fl","P21"
"14",54,0.45323,"CalbnegRCE","L5","171215_M83-154-2","171215_M83-153-2_001","Mafb+/fl","P21"
"15",11,0.52005,"CalbnegRCE","L6","171215_M83-154-2","171215_M83-153-2_001","Mafb+/fl","P21"
"16",1,0.13567,"RCE","L1","171215_M83-154-2","171215_M83-153-2_002","Mafb+/fl","P21"
"17",11,0.38218,"RCE","L23","171215_M83-154-2","171215_M83-153-2_002","Mafb+/fl","P21"
"18",15,0.22501,"RCE","L4","171215_M83-154-2","171215_M83-153-2_002","Mafb+/fl","P21"
"19",62,0.34248,"RCE","L5","171215_M83-154-2","171215_M83-153-2_002","Mafb+/fl","P21"
"20",52,0.43678,"RCE","L6","171215_M83-154-2","171215_M83-153-2_002","Mafb+/fl","P21"
"21",0,0.13567,"RCE_Calb","L1","171215_M83-154-2","171215_M83-153-2_002","Mafb+/fl","P21"
