"","X","Intensity","Channel","Region","Fieldname","Age","n"
"1",1,616.513513513514,"tdt_int","MZ","E17_s011","E17.5","B2"
"2",2,1742.02702702703,"tdt_int","MZ","E17_s011","E17.5","B2"
"3",3,1324.51351351351,"tdt_int","MZ","E17_s011","E17.5","B2"
"4",4,1722.78378378378,"tdt_int","MZ","E17_s011","E17.5","B2"
"5",5,1081.64864864865,"tdt_int","MZ","E17_s011","E17.5","B2"
"6",6,944.486486486486,"tdt_int","MZ","E17_s011","E17.5","B2"
"7",7,1764.54054054054,"tdt_int","MZ","E17_s011","E17.5","B2"
"8",8,1438.78378378378,"tdt_int","MZ","E17_s011","E17.5","B2"
"9",9,2772.10810810811,"tdt_int","MZ","E17_s011","E17.5","B2"
"10",10,3703.81818181818,"tdt_int","MZ","E17_s011","E17.5","B2"
"11",11,877.108108108108,"tdt_int","MZ","E17_s011","E17.5","B2"
"12",12,754.675675675676,"tdt_int","MZ","E17_s011","E17.5","B2"
"13",13,1001.89189189189,"tdt_int","MZ","E17_s011","E17.5","B2"
"14",14,1216.7027027027,"tdt_int","MZ","E17_s011","E17.5","B2"
"15",15,1703,"tdt_int","MZ","E17_s011","E17.5","B2"
"16",16,2250.43243243243,"tdt_int","MZ","E17_s011","E17.5","B2"
"17",17,988.810810810811,"tdt_int","MZ","E17_s011","E17.5","B2"
"18",18,2020.51351351351,"tdt_int","MZ","E17_s011","E17.5","B2"
"19",19,1310.72972972973,"tdt_int","MZ","E17_s011","E17.5","B2"
"20",20,2193.75675675676,"tdt_int","MZ","E17_s011","E17.5","B2"
"21",21,2426.54054054054,"tdt_int","MZ","E17_s011","E17.5","B2"
"22",22,3196.72972972973,"tdt_int","MZ","E17_s011","E17.5","B2"
"23",23,2383.83783783784,"tdt_int","MZ","E17_s011","E17.5","B2"
"24",24,1112.24324324324,"tdt_int","MZ","E17_s011","E17.5","B2"
"25",25,792.486486486486,"tdt_int","MZ","E17_s011","E17.5","B2"
"26",26,405.216216216216,"Mafb_int","MZ","E17_s011","E17.5","B2"
"27",27,546,"Mafb_int","MZ","E17_s011","E17.5","B2"
"28",28,226.810810810811,"Mafb_int","MZ","E17_s011","E17.5","B2"
"29",29,465.918918918919,"Mafb_int","MZ","E17_s011","E17.5","B2"
"30",30,101.945945945946,"Mafb_int","MZ","E17_s011","E17.5","B2"
"31",31,385.648648648649,"Mafb_int","MZ","E17_s011","E17.5","B2"
"32",32,371.216216216216,"Mafb_int","MZ","E17_s011","E17.5","B2"
"33",33,375.162162162162,"Mafb_int","MZ","E17_s011","E17.5","B2"
"34",34,410.459459459459,"Mafb_int","MZ","E17_s011","E17.5","B2"
"35",35,360,"Mafb_int","MZ","E17_s011","E17.5","B2"
"36",36,85.6486486486486,"Mafb_int","MZ","E17_s011","E17.5","B2"
"37",37,173.837837837838,"Mafb_int","MZ","E17_s011","E17.5","B2"
"38",38,554.432432432432,"Mafb_int","MZ","E17_s011","E17.5","B2"
"39",39,306.621621621622,"Mafb_int","MZ","E17_s011","E17.5","B2"
"40",40,432.318181818182,"Mafb_int","MZ","E17_s011","E17.5","B2"
"41",41,475.675675675676,"Mafb_int","MZ","E17_s011","E17.5","B2"
"42",42,149.027027027027,"Mafb_int","MZ","E17_s011","E17.5","B2"
"43",43,415.783783783784,"Mafb_int","MZ","E17_s011","E17.5","B2"
"44",44,403.243243243243,"Mafb_int","MZ","E17_s011","E17.5","B2"
"45",45,258.108108108108,"Mafb_int","MZ","E17_s011","E17.5","B2"
"46",46,585.432432432432,"Mafb_int","MZ","E17_s011","E17.5","B2"
"47",47,530.621621621622,"Mafb_int","MZ","E17_s011","E17.5","B2"
"48",48,883.945945945946,"Mafb_int","MZ","E17_s011","E17.5","B2"
"49",49,321.486486486487,"Mafb_int","MZ","E17_s011","E17.5","B2"
"50",50,543.810810810811,"Mafb_int","MZ","E17_s011","E17.5","B2"
"51",51,1234.51724137931,"tdt_int","CP","E17_s011","E17.5","B2"
"52",52,2579.13513513513,"tdt_int","CP","E17_s011","E17.5","B2"
"53",53,1846.64864864865,"tdt_int","CP","E17_s011","E17.5","B2"
"54",54,2391.67567567568,"tdt_int","CP","E17_s011","E17.5","B2"
"55",55,1719.05405405405,"tdt_int","CP","E17_s011","E17.5","B2"
"56",56,990.405405405405,"tdt_int","CP","E17_s011","E17.5","B2"
"57",57,912.783783783784,"tdt_int","CP","E17_s011","E17.5","B2"
"58",58,2599.89189189189,"tdt_int","CP","E17_s011","E17.5","B2"
"59",59,1660.02702702703,"tdt_int","CP","E17_s011","E17.5","B2"
"60",60,2384.21621621622,"tdt_int","CP","E17_s011","E17.5","B2"
"61",61,1989.64864864865,"tdt_int","CP","E17_s011","E17.5","B2"
"62",62,2135.21621621622,"tdt_int","CP","E17_s011","E17.5","B2"
"63",63,2457.48648648649,"tdt_int","CP","E17_s011","E17.5","B2"
