entrez-id,symbol,Sst Chodl:Nos1 All:472,Sst Chodl:Nos1 All:471,Sst Chodl:Nos1 All:470,Sst Chodl:Nos1 All:469,Sst Chodl:Nos1 All:468,Sst Chodl:Nos1 All:467,Sst Chodl:Nos1 All:466,Sst Chodl:Nos1 All:465,Sst Chodl:Nos1 All:464,Sst Chodl:Nos1 All:463,Sst Chodl:Nos1 All:462,Sst Chodl:Nos1 All:461,Sst Chodl:Nos1 All:460,Sst Chodl:Nos1 All:459,Sst Chodl:Nos1 All:458,Sst Chodl:Nos1 All:457,Sst Chodl:Nos1 All:456,Sst Chodl:Nos1 All:486,Sst Chodl:Nos1 All:485,Sst Chodl:Nos1 All:484,Sst Chodl:Nos1 All:483,Sst Chodl:Nos1 All:482,Sst Chodl:Nos1 All:481,Sst Chodl:Nos1 All:480,Sst Chodl:Nos1 All:479,Sst Chodl:Nos1 All:478,Sst Chodl:Nos1 All:477,Sst Chodl:Nos1 All:476,Sst Chodl:Nos1 All:475,Sst Chodl:Nos1 All:474,Sst Chodl:Nos1 All:473,Sst Chodl:Sst All:455,Sst Chodl:Sst All:454,Sst Chodl:Sst All:453,Sst Chodl:Sst All:451,Sst Chodl:Sst upper:449,Sst Chodl:Sst upper:450,Sst Chodl:Sst upper:452,Sst Chodl:Chrna2 All:448,Sst Chodl:Chrna2 All:447,Sst Chodl:Chrna2 L6:446,Sst Cdk6:Sst All:431,Sst Cdk6:Sst All:430,Sst Cdk6:Sst All:429,Sst Cdk6:Sst All:426,Sst Cdk6:Sst All:423,Sst Cdk6:Sst All:422,Sst Cdk6:Sst All:421,Sst Cdk6:Sst upper:425,Sst Cdk6:Sst upper:424,Sst Cdk6:Chrna2 All:413,Sst Cdk6:Chrna2 All:414,Sst Cdk6:Chrna2 All:415,Sst Cdk6:Chrna2 All:416,Sst Cdk6:Chrna2 All:417,Sst Cdk6:Chrna2 All:418,Sst Cdk6:Chrna2 All:419,Sst Cdk6:Chrna2 All:420,Sst Cdk6:Chrna2 All:427,Sst Cdk6:Chrna2 All:428,Sst Cbln4:Htr3a lower:291,Sst Cbln4:Htr3a lower:292,Sst Cbln4:Htr3a L6b:351,Sst Cbln4:Nos1 All:348,Sst Cbln4:Sst All:334,Sst Cbln4:Sst All:335,Sst Cbln4:Sst All:336,Sst Cbln4:Sst All:337,Sst Cbln4:Sst All:338,Sst Cbln4:Sst All:339,Sst Cbln4:Sst All:340,Sst Cbln4:Sst All:341,Sst Cbln4:Sst All:342,Sst Cbln4:Sst All:343,Sst Cbln4:Sst All:344,Sst Cbln4:Sst All:345,Sst Cbln4:Sst All:346,Sst Cbln4:Sst All:352,Sst Cbln4:Sst All:315,Sst Cbln4:Sst All:314,Sst Cbln4:Sst All:313,Sst Cbln4:Sst All:312,Sst Cbln4:Sst All:311,Sst Cbln4:Sst All:310,Sst Cbln4:Sst All:309,Sst Cbln4:Sst All:308,Sst Cbln4:Sst All:307,Sst Cbln4:Sst upper:303,Sst Cbln4:Sst upper:304,Sst Cbln4:Sst upper:305,Sst Cbln4:Sst upper:306,Sst Cbln4:Sst upper:316,Sst Cbln4:Sst upper:317,Sst Cbln4:Sst upper:318,Sst Cbln4:Sst upper:319,Sst Cbln4:Sst upper:320,Sst Cbln4:Sst upper:302,Sst Cbln4:Sst upper:301,Sst Cbln4:Sst upper:300,Sst Cbln4:Sst upper:293,Sst Cbln4:Sst upper:299,Sst Cbln4:Sst upper:294,Sst Cbln4:Sst upper:295,Sst Cbln4:Sst upper:296,Sst Cbln4:Sst upper:297,Sst Cbln4:Sst upper:298,Sst Cbln4:Sst upper:332,Sst Cbln4:Sst upper:331,Sst Cbln4:Sst upper:330,Sst Cbln4:Sst upper:329,Sst Cbln4:Sst upper:328,Sst Cbln4:Sst upper:327,Sst Cbln4:Sst upper:326,Sst Cbln4:Sst upper:321,Sst Cbln4:Sst upper:322,Sst Cbln4:Sst upper:323,Sst Cbln4:Sst upper:324,Sst Cbln4:Sst upper:325,Sst Cbln4:Sst lower:333,Sst Cbln4:Pvalb upper:350,Sst Cbln4:Nkx2-1 upper:349,Sst Cbln4:Gad2 All:289,Sst Cbln4:Gad2 All:290,Sst Cbln4:Gad2 All:288,Sst Cbln4:Gad2 All:287,Sst Cbln4:Cux2 All:286,Sst Cbln4:Cux2 L1-2/3:285,Sst Cbln4:Ndnf Neg L1:347,Sst Myh8:Sst All:406,Sst Myh8:Sst All:405,Sst Myh8:Sst All:404,Sst Myh8:Sst All:403,Sst Myh8:Sst All:408,Sst Myh8:Sst All:407,Sst Myh8:Sst upper:398,Sst Myh8:Sst upper:412,Sst Myh8:Sst lower:399,Sst Myh8:Sst lower:400,Sst Myh8:Sst lower:401,Sst Myh8:Sst lower:402,Sst Myh8:Chrna2 All:381,Sst Myh8:Chrna2 All:380,Sst Myh8:Chrna2 All:379,Sst Myh8:Chrna2 All:378,Sst Myh8:Chrna2 All:382,Sst Myh8:Chrna2 All:383,Sst Myh8:Chrna2 All:384,Sst Myh8:Chrna2 All:377,Sst Myh8:Chrna2 All:376,Sst Myh8:Chrna2 All:375,Sst Myh8:Chrna2 All:385,Sst Myh8:Chrna2 All:386,Sst Myh8:Chrna2 All:387,Sst Myh8:Chrna2 All:388,Sst Myh8:Chrna2 All:389,Sst Myh8:Chrna2 All:390,Sst Myh8:Chrna2 All:391,Sst Myh8:Chrna2 All:392,Sst Myh8:Chrna2 All:393,Sst Myh8:Chrna2 All:394,Sst Myh8:Chrna2 All:395,Sst Myh8:Chrna2 All:396,Sst Myh8:Chrna2 All:397,Sst Myh8:Chrna2 All:411,Sst Myh8:Chrna2 All:410,Sst Myh8:Chrna2 L6:373,Sst Myh8:Chrna2 L6:374,Sst Myh8:Gad2 All:372,Sst Myh8:Rbp4 L5:409,Sst Tacstd2:Htr3a lower:432,Sst Tacstd2:Htr3a lower:433,Sst Tacstd2:Htr3a lower:434,Sst Tacstd2:Sst All:443,Sst Tacstd2:Sst All:442,Sst Tacstd2:Sst All:440,Sst Tacstd2:Sst All:439,Sst Tacstd2:Sst All:438,Sst Tacstd2:Sst lower:441,Sst Tacstd2:Chrna2 All:437,Sst Tacstd2:Chrna2 All:436,Sst Tacstd2:Chrna2 All:435,Sst Tacstd2:Chrna2 L6:444,Sst Tacstd2:PvalbD-Slc32a1 All:445,Sst Th:Htr3a lower:353,Sst Th:Htr3a lower:354,Sst Th:Sst All:370,Sst Th:Sst All:368,Sst Th:Sst All:362,Sst Th:Sst lower:364,Sst Th:Sst lower:367,Sst Th:Sst lower:366,Sst Th:Sst lower:363,Sst Th:Sst lower:365,Sst Th:Chrna2 All:355,Sst Th:Chrna2 All:356,Sst Th:Chrna2 All:357,Sst Th:Chrna2 All:358,Sst Th:Chrna2 All:359,Sst Th:Chrna2 All:360,Sst Th:Chrna2 All:361,Sst Th:Chrna2 L6:369,Sst Th:Ntsr1 Neg L6:371
109648,Npy,5.4579,4.1001,3.7252,4.8771,5.1057,5.1036,5.0819,5.3258,5.1086,5.0798,4.8373,4.3381,5.5181,5.8441,6.4786,4.1904,5.4495,6.5981,4.1457,4.5916,5.8347,6.4637,6.7812,5.7756,5.1862,7.5242,8.8827,4.7306,7.5120,5.2257,7.9085,5.1255,5.9369,3.9774,5.3787,6.2741,7.9150,5.7848,4.7369,7.4446,5.8695,-0.2395,-0.1960,-0.2408,-0.2413,-0.2412,-0.2409,-0.2408,-0.2410,-0.2410,-0.2412,-0.2413,-0.2413,0.0000,-0.2411,-0.2412,0.0000,-0.2412,0.0000,-0.2413,0.3112,0.2089,0.0000,-0.1365,1.8857,0.8225,0.5143,0.7475,0.4271,-0.0868,-0.0733,2.2490,2.3751,-0.0689,-0.0460,0.2111,0.3618,-0.2396,0.0799,0.3437,-0.1928,0.2667,0.3550,1.3293,1.6823,-0.0950,0.7853,0.6091,0.0832,0.2055,-0.0397,0.5416,0.7218,0.2202,0.0473,0.0594,0.5078,0.7859,0.6576,0.8305,0.2765,0.8539,0.1555,1.0438,0.1282,0.8991,-0.0316,0.1477,0.2230,-0.0293,0.0475,0.1429,0.1509,0.6374,0.0196,0.3158,0.4077,0.0565,1.1619,-0.0051,0.9620,0.2963,-0.0111,-0.0418,0.3444,0.1756,0.0578,-0.1151,-0.2113,-0.1798,-0.2408,-0.2411,-0.2212,-0.2406,-0.2412,-0.0603,-0.2413,-0.2412,-0.2101,-0.2041,0.1006,-0.2250,-0.1314,-0.1995,0.2804,0.0000,-0.2412,0.0629,0.0000,2.2863,-0.0806,-0.1168,0.0000,-0.2148,-0.2412,-0.2260,0.0387,-0.1495,-0.2412,-0.2412,1.1676,0.0000,-0.2244,-0.2413,0.3975,-0.2198,-0.1457,-0.2413,0.0000,0.0000,-0.2193,0.0000,0.0000,-0.2406,-0.2411,-0.2179,-0.2409,0.0000,0.0000,0.0000,-0.2261,-0.2413,-0.2244,0.2741,1.0870,0.1859,-0.2196,3.7843,2.5337,0.6773,0.9352,1.6258,-0.2244,-0.2413,0.0000,2.4147,0.0000,0.0000,1.8520,-0.2411,-0.2400,0.6601
0,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12307,Calb1,0.0000,-0.3721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3850,0.0000,0.0000,0.0000,-0.3850,-0.3854,-0.3847,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3856,0.0000,0.0000,0.0000,-0.3848,0.0000,0.0000,0.0000,0.0000,0.0000,2.8068,-0.3847,1.7839,0.3915,3.1326,0.5430,1.1312,0.4857,-0.3831,2.4586,-0.1720,1.7627,0.3988,0.8998,0.2133,0.3368,4.3204,0.0000,1.6609,0.0000,1.4015,0.0000,3.1156,1.2244,6.3863,3.9839,0.2140,2.8494,2.9499,-0.3812,1.6255,1.5731,4.5350,6.0020,2.4589,-0.3856,3.7007,2.5749,2.4969,0.1872,0.0000,6.9221,3.7485,2.2878,9.4969,3.6888,0.8581,2.3824,2.7438,6.6492,2.0182,6.7051,5.1989,3.9012,2.2099,4.8524,2.7725,-0.3766,4.7228,3.7347,3.7084,2.3064,2.5595,3.9939,2.9147,0.6358,1.4838,0.9718,4.0456,0.7075,5.8485,1.5838,2.0028,1.3114,1.6139,4.9114,2.5504,-0.3768,2.2333,1.5889,2.5639,1.9361,2.7693,1.7320,1.8042,5.1128,4.2426,0.8595,1.4773,-0.3125,-0.1319,1.0559,-0.3130,0.3622,3.3211,-0.3733,2.4187,0.9790,0.0426,-0.0766,0.6131,-0.1836,1.5635,0.5468,-0.3305,-0.1422,2.1829,2.0046,0.8865,1.8243,0.6497,0.7022,1.3650,2.0116,1.1186,1.6325,1.1992,2.9692,2.7199,1.9913,0.6931,1.0709,3.3481,4.2750,0.7542,0.8416,2.7763,1.5055,0.0000,-0.1354,0.0000,0.0000,0.0000,0.0000,-0.3831,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3840,1.0110,0.4130,4.8138,0.0000,1.5365,0.9208,-0.3698,1.6455,-0.0489,0.0000,0.0000,1.8459,1.2063,0.0000,0.0000,1.0755,0.0000,0.0000,3.4786
12308,Calb2,-0.3047,-0.2762,1.3654,2.2170,2.7377,0.0000,1.6901,0.0000,0.4691,2.5688,-0.2413,0.3766,-0.3068,-0.3054,0.3543,1.1459,0.0000,-0.2235,1.6360,2.7912,1.3221,-0.2110,1.8934,0.5605,-0.3064,1.0794,1.2125,2.0172,0.5774,-0.2257,-0.2767,-0.3070,-0.3035,1.2682,1.6947,1.5537,-0.3064,1.4822,0.0000,0.0000,0.0000,-0.3064,-0.3068,0.0000,0.0000,0.0000,0.0000,-0.3046,0.0000,-0.3060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3053,0.0000,-0.3068,-0.3041,0.5089,1.6696,0.0000,0.0000,-0.3068,0.0000,-0.3063,-0.2949,-0.3065,1.2680,1.3379,-0.3067,-0.3067,0.0000,0.0000,0.0000,-0.3065,-0.3069,0.1028,0.0000,-0.1509,-0.2068,0.3883,2.5515,0.5096,2.1616,0.5708,1.2988,1.7009,4.9467,0.0818,1.7283,-0.3034,-0.0028,0.8872,1.7468,2.2107,-0.1272,0.6007,0.4695,0.7890,-0.3066,1.6465,0.0000,2.4540,0.0000,0.0900,0.0000,0.7066,0.8666,0.6066,0.8679,-0.1163,0.0000,-0.2198,0.0000,-0.0682,0.3027,-0.3065,0.0000,0.4407,0.8767,-0.1745,-0.3067,-0.3067,-0.3039,-0.3069,0.0000,0.0000,0.0000,-0.3067,0.0000,-0.3068,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3065,0.0000,-0.2989,-0.3064,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3053,0.0000,0.0000,-0.3063,-0.3067,-0.3047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3068,-0.3070,0.0000,-0.3067,0.0000,-0.2460,0.0000,0.0000,0.0000,0.0000,0.2335,0.0000,0.0000,2.4993,-0.3055,0.0000,-0.3064
0,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19699,Reln,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2888,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2884,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2888,0.0000,0.0000,0.0000,-0.2884,0.0000,0.0000,0.0000,-0.2888,0.0000,0.0000,0.0000,0.0000,0.0000,2.1062,0.7523,0.0716,1.2532,1.0558,1.4271,0.9602,1.5450,2.2703,1.7537,1.9895,4.3391,3.0490,2.1834,2.0083,-0.0303,0.0735,1.3472,1.7898,1.0703,1.5399,0.0000,-0.2884,1.5513,0.0000,0.8255,1.5697,0.4100,0.0000,2.2167,3.6968,-0.0659,0.0000,0.1734,1.0797,4.6403,1.9488,0.0000,1.3672,1.4200,2.8484,0.0000,0.5882,0.6171,-0.2884,0.6148,0.2502,0.7115,1.8242,0.8604,3.7320,0.1370,3.0885,1.7428,1.4917,2.0068,-0.2884,2.7928,-0.2277,0.5862,2.1352,0.0000,0.0000,-0.2888,0.0590,0.0579,-0.2884,2.0267,0.4695,0.0018,0.5772,-0.2884,1.1267,1.1514,0.1742,0.5991,0.0700,2.0134,0.0000,0.0000,1.8744,4.8643,3.5804,0.2016,2.0816,0.0000,0.0000,0.3528,0.2756,0.0112,2.2774,0.5106,-0.1129,4.2408,1.0429,2.1987,0.0520,0.5447,-0.0882,0.4812,1.4737,0.4812,0.1041,0.5322,1.8348,0.7331,0.1346,0.9222,0.7245,0.2247,0.4566,-0.2794,1.5795,-0.2606,1.1228,1.8442,0.3281,1.0002,1.4992,1.2591,0.0000,1.7083,2.6299,1.7295,2.9796,1.0057,1.3437,0.4613,0.0000,0.0000,-0.1215,0.0000,0.3438,-0.2884,-0.0714,-0.2422,0.0000,-0.1564,0.0821,-0.2433,0.4291,0.0000,0.0000,0.0000,0.8224,-0.2868,0.0716,0.3430,0.0000,0.2357,0.0000,0.0000,-0.2888,0.1844,0.0065,0.0000,0.0000,-0.0781,-0.2888,0.0000,3.0705
0,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18125,Nos1,3.4774,5.0020,3.8383,1.4999,1.0519,0.0814,7.1061,3.6246,1.5601,2.5084,5.0986,3.5280,1.0345,-0.1324,6.0089,6.5884,3.5613,6.9620,1.4714,4.3766,1.7010,6.4902,3.5106,3.8067,0.6656,11.4773,4.9292,3.5296,2.7079,8.1225,11.0435,7.6412,2.7586,5.1223,9.8767,2.0715,8.8460,4.0616,3.8510,19.3744,4.2515,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1324,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0054,0.4740,-0.1530,-0.1530,-0.1530,0.0000,0.0000,0.0000,0.0000,-0.1498,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1530,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9284,-0.1530,0.0101,0.0000,-0.0136,-0.1561,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0893,0.2349,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1545,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0740,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0326,-0.1482,-0.1545,0.0000,0.0000,0.0000,0.0000,0.0671,-0.1561,1.8783,0.0000,0.0000,0.0000,5.2933,0.0000,0.0000,2.4388,0.0000
0,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
