"","Region","GFP_","Areamm2","Brainno","Fieldname","Age","Genotype"
"1","MZ",21,0.0369772568206644,"B1","1_WT_S010","E16.5","Neto1+/+"
"2","SVZ",38,0.1112373676258,"B1","1_WT_S010","E16.5","Neto1+/+"
"3","All",59,0.148214624446465,"B1","1_WT_S010","E16.5","Neto1+/+"
"4","MZ",27,0.0352273990881797,"B1","1_WT_S010-2","E16.5","Neto1+/+"
"5","SVZ",39,0.105041699099299,"B1","1_WT_S010-2","E16.5","Neto1+/+"
"6","All",66,0.140269098187479,"B1","1_WT_S010-2","E16.5","Neto1+/+"
"7","MZ",47,0.0743270910054225,"B1","1_WT_S012","E16.5","Neto1+/+"
"8","SVZ",68,0.222981273016268,"B1","1_WT_S012","E16.5","Neto1+/+"
"9","All",115,0.29730836402169,"B1","1_WT_S012","E16.5","Neto1+/+"
"10","MZ",29,0.0519431453221787,"B1","1_WT_S014","E16.5","Neto1+/+"
"11","SVZ",44,0.15504241861317,"B1","1_WT_S014","E16.5","Neto1+/+"
"12","All",73,0.206985563935348,"B1","1_WT_S014","E16.5","Neto1+/+"
"13","MZ",31,0.0466182193994021,"B1","1_WT_S016","E16.5","Neto1+/+"
"14","SVZ",31,0.139126248520091,"B1","1_WT_S016","E16.5","Neto1+/+"
"15","All",62,0.185744467919493,"B1","1_WT_S016","E16.5","Neto1+/+"
"16","MZ",31,0.0620341311215913,"B1","1_WT_S018","E16.5","Neto1+/+"
"17","SVZ",55,0.186102393364774,"B1","1_WT_S018","E16.5","Neto1+/+"
"18","All",86,0.248136524486365,"B1","1_WT_S018","E16.5","Neto1+/+"
"19","MZ",31,0.0672334691688306,"B1","1_WT_S020","E16.5","Neto1+/+"
"20","SVZ",65,0.201700407506492,"B1","1_WT_S020","E16.5","Neto1+/+"
"21","All",96,0.268933876675323,"B1","1_WT_S020","E16.5","Neto1+/+"
"22","MZ",13,0.0386339702121258,"B1","1_WT_S022","E16.5","Neto1+/+"
"23","SVZ",19,0.115565963069315,"B1","1_WT_S022","E16.5","Neto1+/+"
"24","All",32,0.154199933281441,"B1","1_WT_S022","E16.5","Neto1+/+"
"25","MZ",34,0.0582225390990378,"B2","2_HE_S002-1","E16.5","Neto1+/-"
"26","SVZ",38,0.173901531256337,"B2","2_HE_S002-1","E16.5","Neto1+/-"
"27","All",72,0.232124070355374,"B2","2_HE_S002-1","E16.5","Neto1+/-"
"28","MZ",41,0.0945268542199488,"B2","2_HE_S004-1","E16.5","Neto1+/-"
"29","SVZ",77,0.284167685977983,"B2","2_HE_S004-1","E16.5","Neto1+/-"
"30","All",118,0.378694540197932,"B2","2_HE_S004-1","E16.5","Neto1+/-"
"31","MZ",42,0.091867530955449,"B2","2_HE_S006-1","E16.5","Neto1+/-"
"32","SVZ",68,0.275006050457545,"B2","2_HE_S006-1","E16.5","Neto1+/-"
"33","All",110,0.366873581412994,"B2","2_HE_S006-1","E16.5","Neto1+/-"
"34","MZ",19,0.0491969571104323,"B2","2_HE_S008-1","E16.5","Neto1+/-"
"35","SVZ",18,0.146720128727572,"B2","2_HE_S008-1","E16.5","Neto1+/-"
"36","All",37,0.195917085838005,"B2","2_HE_S008-1","E16.5","Neto1+/-"
"37","MZ",40,0.0582225390990378,"B2","2_HE_S008-2","E16.5","Neto1+/-"
"38","SVZ",44,0.175050660317502,"B2","2_HE_S008-2","E16.5","Neto1+/-"
"39","All",84,0.23327319941654,"B2","2_HE_S008-2","E16.5","Neto1+/-"
"40","MZ",46,0.0761502083319706,"B2","2_HE_S010-1","E16.5","Neto1+/-"
"41","SVZ",52,0.229018910132718,"B2","2_HE_S010-1","E16.5","Neto1+/-"
"42","All",98,0.305169118464688,"B2","2_HE_S010-1","E16.5","Neto1+/-"
"43","MZ",24,0.0391059713110197,"B2","2_HE_S012-1","E16.5","Neto1+/-"
"44","SVZ",15,0.116660670717748,"B2","2_HE_S012-1","E16.5","Neto1+/-"
"45","All",39,0.155766642028767,"B2","2_HE_S012-1","E16.5","Neto1+/-"
"46","MZ",43,0.0807781215455158,"B2","2_HE_S014-1","E16.5","Neto1+/-"
"47","SVZ",61,0.24112872103139,"B2","2_HE_S014-1","E16.5","Neto1+/-"
"48","All",104,0.321906842576906,"B2","2_HE_S014-1","E16.5","Neto1+/-"
"49","MZ",39,0.0499735088075039,"B2","2_HE_S016-1","E16.5","Neto1+/-"
"50","SVZ",39,0.149920526422512,"B2","2_HE_S016-1","E16.5","Neto1+/-"
"51","All",78,0.199894035230016,"B2","2_HE_S016-1","E16.5","Neto1+/-"
"52","MZ",50,0.066373192221401,"B2","2_HE_S016-2","E16.5","Neto1+/-"
"53","SVZ",61,0.199593670894356,"B2","2_HE_S016-2","E16.5","Neto1+/-"
"54","All",111,0.265966863115757,"B2","2_HE_S016-2","E16.5","Neto1+/-"
"55","MZ",62,0.0861784001936146,"B2","2_HE_S018-1","E16.5","Neto1+/-"
"56","SVZ",72,0.259125463595869,"B2","2_HE_S018-1","E16.5","Neto1+/-"
"57","All",134,0.345303863789483,"B2","2_HE_S018-1","E16.5","Neto1+/-"
"58","MZ",39,0.0638237583479961,"B2","2_HE_S020-1","E16.5","Neto1+/-"
"59","SVZ",45,0.190943805966732,"B2","2_HE_S020-1","E16.5","Neto1+/-"
"60","All",84,0.254767564314728,"B2","2_HE_S020-1","E16.5","Neto1+/-"
"61","MZ",48,0.0656322237557316,"B2","2_HE_S022-1","E16.5","Neto1+/-"
"62","SVZ",51,0.196896671267195,"B2","2_HE_S022-1","E16.5","Neto1+/-"
"63","All",99,0.262528895022926,"B2","2_HE_S022-1","E16.5","Neto1+/-"
"64","MZ",37,0.0456470064952479,"B2","2_HE_S022-2","E16.5","Neto1+/-"
"65","SVZ",39,0.136154002132377,"B2","2_HE_S022-2","E16.5","Neto1+/-"
"66","All",76,0.181801008627625,"B2","2_HE_S022-2","E16.5","Neto1+/-"
"67","MZ",54,0.0812710539569992,"B2","2_HE_S024-1","E16.5","Neto1+/-"
"68","SVZ",75,0.242764503110262,"B2","2_HE_S024-1","E16.5","Neto1+/-"
