"","Region","GFP_","Areamm2","Brainno","Fieldname","Age","Genotype"
"1","MZ",69,0.122939017928977,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_001.OME","E16.5","Elfn1-/-::SSTcre"
"2","SVZ",95,0.367458611599872,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_001.OME","E16.5","Elfn1-/-::SSTcre"
"3","All",164,0.490397629528849,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_001.OME","E16.5","Elfn1-/-::SSTcre"
"4","MZ",42,0.106255715229492,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_002.OME","E16.5","Elfn1-/-::SSTcre"
"5","SVZ",91,0.317682903696339,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_002.OME","E16.5","Elfn1-/-::SSTcre"
"6","All",133,0.423938618925831,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_002.OME","E16.5","Elfn1-/-::SSTcre"
"7","MZ",44,0.111700996199659,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_003.OME","E16.5","Elfn1-/-::SSTcre"
"8","SVZ",92,0.334471909524401,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_003.OME","E16.5","Elfn1-/-::SSTcre"
"9","All",136,0.44617290572406,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_003.OME","E16.5","Elfn1-/-::SSTcre"
"10","MZ",35,0.0975817792923908,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_004.OME","E16.5","Elfn1-/-::SSTcre"
"11","SVZ",65,0.293287458873241,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_004.OME","E16.5","Elfn1-/-::SSTcre"
"12","All",100,0.390869238165632,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_004.OME","E16.5","Elfn1-/-::SSTcre"
"13","MZ",33,0.100292384272735,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_005.OME","E16.5","Elfn1-/-::SSTcre"
"14","SVZ",68,0.300335031822136,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_005.OME","E16.5","Elfn1-/-::SSTcre"
"15","All",101,0.400627416094871,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_005.OME","E16.5","Elfn1-/-::SSTcre"
"16","MZ",54,0.119622451449166,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_006.OME","E16.5","Elfn1-/-::SSTcre"
"17","SVZ",82,0.358867354347499,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_006.OME","E16.5","Elfn1-/-::SSTcre"
"18","All",136,0.478489805796665,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_006.OME","E16.5","Elfn1-/-::SSTcre"
"19","MZ",26,0.0694856784034641,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_007.OME","E16.5","Elfn1-/-::SSTcre"
"20","SVZ",51,0.208457035210392,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_007.OME","E16.5","Elfn1-/-::SSTcre"
"21","All",77,0.277942713613856,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_007.OME","E16.5","Elfn1-/-::SSTcre"
"22","MZ",36,0.0954719029833661,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_008.OME","E16.5","Elfn1-/-::SSTcre"
"23","SVZ",55,0.285360770795586,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_008.OME","E16.5","Elfn1-/-::SSTcre"
"24","All",91,0.380832673778952,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_008.OME","E16.5","Elfn1-/-::SSTcre"
"25","MZ",22,0.0663260967680745,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_009.OME","E16.5","Elfn1-/-::SSTcre"
"26","SVZ",35,0.199370752415277,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_009.OME","E16.5","Elfn1-/-::SSTcre"
"27","All",57,0.265696849183352,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_009.OME","E16.5","Elfn1-/-::SSTcre"
"28","MZ",24,0.0844704050863089,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_010.OME","E16.5","Elfn1-/-::SSTcre"
"29","SVZ",49,0.253888449185968,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_010.OME","E16.5","Elfn1-/-::SSTcre"
"30","All",73,0.338358854272277,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_010.OME","E16.5","Elfn1-/-::SSTcre"
"31","MZ",33,0.07183312511038,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_011.OME","E16.5","Elfn1-/-::SSTcre"
"32","SVZ",33,0.215929513804855,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_011.OME","E16.5","Elfn1-/-::SSTcre"
"33","All",66,0.287762638915235,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_011.OME","E16.5","Elfn1-/-::SSTcre"
"34","MZ",20,0.0835640792511823,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_012.OME","E16.5","Elfn1-/-::SSTcre"
"35","SVZ",33,0.24968544161799,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_012.OME","E16.5","Elfn1-/-::SSTcre"
"36","All",53,0.333249520869173,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_012.OME","E16.5","Elfn1-/-::SSTcre"
"37","MZ",38,0.0823197127177347,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_013.OME","E16.5","Elfn1-/-::SSTcre"
"38","SVZ",45,0.246959138153204,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_013.OME","E16.5","Elfn1-/-::SSTcre"
"39","All",83,0.329278850870939,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_013.OME","E16.5","Elfn1-/-::SSTcre"
"40","MZ",29,0.0776509834446399,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_014.OME","E16.5","Elfn1-/-::SSTcre"
"41","SVZ",31,0.231994296217319,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_014.OME","E16.5","Elfn1-/-::SSTcre"
"42","All",60,0.309645279661959,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_014.OME","E16.5","Elfn1-/-::SSTcre"
"43","MZ",40,0.0957775001471733,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_015.OME","E16.5","Elfn1-/-::SSTcre"
"44","SVZ",40,0.286185464511614,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_015.OME","E16.5","Elfn1-/-::SSTcre"
"45","All",80,0.381962964658787,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_015.OME","E16.5","Elfn1-/-::SSTcre"
"46","MZ",26,0.0772218915365546,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_016.OME","E16.5","Elfn1-/-::SSTcre"
"47","SVZ",23,0.230688182311733,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_016.OME","E16.5","Elfn1-/-::SSTcre"
"48","All",49,0.307910073848287,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_016.OME","E16.5","Elfn1-/-::SSTcre"
"49","MZ",27,0.0627782392841491,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_017.OME","E16.5","Elfn1-/-::SSTcre"
"50","SVZ",32,0.188334717852447,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_017.OME","E16.5","Elfn1-/-::SSTcre"
"51","All",59,0.251112957136596,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_017.OME","E16.5","Elfn1-/-::SSTcre"
"52","MZ",32,0.0845918066993282,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_018.OME","E16.5","Elfn1-/-::SSTcre"
"53","SVZ",50,0.252762344568651,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_018.OME","E16.5","Elfn1-/-::SSTcre"
"54","All",82,0.33735415126798,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_018.OME","E16.5","Elfn1-/-::SSTcre"
"55","MZ",26,0.0979920330191456,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_019.OME","E16.5","Elfn1-/-::SSTcre"
"56","SVZ",25,0.294612410960158,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_019.OME","E16.5","Elfn1-/-::SSTcre"
"57","All",51,0.392604443979304,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_019.OME","E16.5","Elfn1-/-::SSTcre"
"58","MZ",33,0.0716635814784048,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_020.OME","E16.5","Elfn1-/-::SSTcre"
"59","SVZ",26,0.214122094962749,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_020.OME","E16.5","Elfn1-/-::SSTcre"
"60","All",59,0.285785676441154,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_020.OME","E16.5","Elfn1-/-::SSTcre"
"61","MZ",29,0.0760759021722778,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_021.OME","E16.5","Elfn1-/-::SSTcre"
"62","SVZ",27,0.227743146630386,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_021.OME","E16.5","Elfn1-/-::SSTcre"
"63","All",56,0.303819048802663,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_021.OME","E16.5","Elfn1-/-::SSTcre"
"64","MZ",28,0.0960150705450644,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_022.OME","E16.5","Elfn1-/-::SSTcre"
"65","SVZ",41,0.286837474898777,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_022.OME","E16.5","Elfn1-/-::SSTcre"
"66","All",69,0.382852545443842,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_022.OME","E16.5","Elfn1-/-::SSTcre"
"67","MZ",50,0.10705947763293,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_023.OME","E16.5","Elfn1-/-::SSTcre"
"68","SVZ",62,0.321178432898791,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_023.OME","E16.5","Elfn1-/-::SSTcre"
"69","All",112,0.428237910531721,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_023.OME","E16.5","Elfn1-/-::SSTcre"
"70","MZ",33,0.0871789169353942,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_024.OME","E16.5","Elfn1-/-::SSTcre"
"71","SVZ",38,0.262159457355721,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_024.OME","E16.5","Elfn1-/-::SSTcre"
"72","All",71,0.349338374291115,"240116_elfn1_M85-124-B1","240116_elfn1_M85-124-B1_024.OME","E16.5","Elfn1-/-::SSTcre"
"73","MZ",42,0.0895598537424533,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_001.OME","E16.5","Elfn1+/-::SSTcre"
"74","SVZ",39,0.267656020041732,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_001.OME","E16.5","Elfn1+/-::SSTcre"
"75","All",81,0.357215873784185,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_001.OME","E16.5","Elfn1+/-::SSTcre"
"76","MZ",35,0.0866870310895402,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_002.OME","E16.5","Elfn1+/-::SSTcre"
"77","SVZ",56,0.260061093268621,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_002.OME","E16.5","Elfn1+/-::SSTcre"
"78","All",91,0.346748124358161,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_002.OME","E16.5","Elfn1+/-::SSTcre"
"79","MZ",24,0.0770104852794003,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_003.OME","E16.5","Elfn1+/-::SSTcre"
"80","SVZ",40,0.231489851583912,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_003.OME","E16.5","Elfn1+/-::SSTcre"
"81","All",64,0.308500336863312,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_003.OME","E16.5","Elfn1+/-::SSTcre"
"82","MZ",20,0.0727237524610645,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_004.OME","E16.5","Elfn1+/-::SSTcre"
"83","SVZ",45,0.217325632354576,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_004.OME","E16.5","Elfn1+/-::SSTcre"
"84","All",65,0.290049384815641,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_004.OME","E16.5","Elfn1+/-::SSTcre"
"85","MZ",37,0.0737493867779515,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_005.OME","E16.5","Elfn1+/-::SSTcre"
"86","SVZ",43,0.221248160333854,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_005.OME","E16.5","Elfn1+/-::SSTcre"
"87","All",80,0.294997547111806,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_005.OME","E16.5","Elfn1+/-::SSTcre"
"88","MZ",40,0.0823856463523917,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_006.OME","E16.5","Elfn1+/-::SSTcre"
"89","SVZ",47,0.247659290559324,"240116_elfn1_M85-124-B3","240116_elfn1_M85-124-B3_006.OME","E16.5","Elfn1+/-::SSTcre"
